Time,Bus1.V,Bus1.A,Bus1.F,Line1.P,Line1.Q,Line2.P,Line2.Q,Bus2.V,Bus2.A,Bus2.F
0,543.42,-106.87,60,729.27,43.113,745.73,29.837,548.35,-160.66,59.998
0.033333,543.37,-106.88,60,729.48,43.298,746.16,30.161,548.34,-160.69,59.997
0.066667,543.33,-106.89,59.998,729.94,43.566,746.17,30.152,548.36,-160.71,59.998
0.1,543.29,-106.91,59.998,730.32,43.673,746.12,29.9,548.35,-160.75,59.997
0.13333,543.25,-106.93,59.998,730.55,43.742,746.14,29.748,548.29,-160.78,59.996
0.16667,543.21,-106.95,59.998,731.03,43.786,746.26,29.876,548.31,-160.82,59.998
0.2,543.2,-106.97,59.997,731.35,43.962,746.75,30.003,548.31,-160.85,59.997
0.23333,543.18,-107,59.997,731.5,44.038,746.91,29.992,548.33,-160.89,59.998
0.26667,543.14,-107.04,59.996,731.63,43.99,747.03,29.936,548.31,-160.92,59.997
0.3,543.15,-107.08,59.996,731.7,44.073,747.27,29.967,548.28,-160.96,59.997
0.33333,543.15,-107.13,59.996,731.81,44.275,747.48,30.015,548.25,-161,59.997
0.36667,543.2,-107.17,59.996,732.09,44.466,747.43,30.122,548.26,-161.05,59.996
0.4,543.22,-107.23,59.995,732.03,44.316,747.08,29.724,548.27,-161.09,59.996
0.43333,543.2,-107.28,59.995,731.69,44.042,746.7,29.518,548.28,-161.13,59.997
0.46667,543.2,-107.35,59.994,731.45,43.671,746.26,29.174,548.31,-161.17,59.996
0.5,543.23,-107.42,59.994,731.33,43.389,746.13,28.875,548.32,-161.21,59.996
0.53333,543.29,-107.49,59.994,731.27,43.349,746.07,28.738,548.32,-161.26,59.996
0.56667,543.36,-107.57,59.994,731.29,43.014,745.74,28.312,548.32,-161.3,59.997
0.6,543.39,-107.64,59.993,731.13,42.834,745.25,27.62,548.37,-161.35,59.996
0.63333,543.43,-107.72,59.993,731.08,42.932,744.61,26.813,548.39,-161.39,59.996
0.66667,543.45,-107.8,59.994,731.15,42.824,744.38,26.374,548.39,-161.44,59.996
0.7,543.52,-107.88,59.994,730.72,42.504,744.79,26.39,548.38,-161.48,59.995
0.73333,543.56,-107.96,59.994,729.88,42.01,745.28,26.676,548.38,-161.53,59.996
0.76667,543.6,-108.04,59.994,729.28,41.569,745.16,26.661,548.41,-161.58,59.996
0.8,543.63,-108.11,59.994,728.84,41.587,744.65,26.48,548.4,-161.63,59.995
0.83333,543.67,-108.19,59.994,728.58,41.559,744.13,25.959,548.37,-161.69,59.996
0.86667,543.66,-108.27,59.993,728.52,41.449,743.33,25.174,548.42,-161.74,59.996
0.9,543.7,-108.34,59.994,728.46,41.294,743.14,24.723,548.45,-161.79,59.995
0.93333,543.74,-108.42,59.995,728.52,40.995,743.55,24.651,548.47,-161.85,59.996
0.96667,543.76,-108.49,59.994,728.68,40.942,743.96,24.975,548.44,-161.91,59.994
1,543.77,-108.55,59.994,728.86,40.808,744.3,25.201,548.46,-161.96,59.996
1.0333,543.79,-108.62,59.995,728.83,40.463,744.69,25.181,548.48,-162.02,59.995
1.0667,543.8,-108.69,59.994,729.12,40.121,744.8,25.212,548.48,-162.08,59.995
1.1,543.81,-108.76,59.995,729.52,40.054,744.78,25.048,548.5,-162.14,59.995
1.1333,543.78,-108.82,59.995,729.86,40.138,744.49,24.745,548.48,-162.2,59.995
1.1667,543.81,-108.88,59.995,730.19,40.26,744.01,24.611,548.48,-162.26,59.995
1.2,543.84,-108.94,59.995,729.96,40.188,743.82,24.705,548.49,-162.32,59.995
1.2333,543.82,-109,59.995,729.22,40.29,743.66,24.744,548.47,-162.38,59.996
1.2667,543.82,-109.06,59.995,728.67,40.406,743.52,24.847,548.39,-162.44,59.995
1.3,543.77,-109.11,59.995,728,40.435,743.2,24.683,548.37,-162.49,59.995
1.3333,543.77,-109.16,59.996,727.4,40.518,742.9,24.394,548.44,-162.55,59.995
1.3667,543.78,-109.21,59.997,727.08,40.549,742.75,24.363,548.47,-162.61,59.996
1.4,543.81,-109.25,59.997,726.95,40.591,743.21,24.765,548.53,-162.65,59.996
1.4333,543.84,-109.28,59.997,726.9,40.711,743.95,25.193,548.48,-162.7,59.995
1.4667,543.81,-109.32,59.997,727.33,40.625,744.53,25.552,548.47,-162.76,59.996
1.5,543.8,-109.36,59.997,727.95,40.468,744.87,25.927,548.51,-162.81,59.996
1.5333,543.78,-109.39,59.997,728.56,40.392,745.04,25.929,548.49,-162.85,59.996
1.5667,543.72,-109.43,59.997,729.47,40.644,744.61,25.589,548.5,-162.9,59.996
1.6,543.66,-109.46,59.997,730.45,40.99,744.04,25.137,548.48,-162.94,59.996
1.6333,543.6,-109.5,59.998,730.87,41.149,743.97,25.2,548.49,-162.98,59.997
1.6667,543.6,-109.52,59.998,730.94,40.945,744.46,25.831,548.52,-163.02,59.997
1.7,543.59,-109.55,59.997,730.75,40.777,745.07,26.312,548.54,-163.07,59.997
1.7333,543.59,-109.58,59.997,730.48,41.017,745.41,26.407,548.54,-163.1,59.997
1.7667,543.63,-109.62,59.998,730.29,41.167,745.57,26.447,548.56,-163.14,59.997
1.8,543.62,-109.65,59.997,729.95,41.249,745.69,26.692,548.6,-163.18,59.996
1.8333,543.61,-109.69,59.996,729.61,41.331,746.01,26.804,548.6,-163.22,59.997
1.8667,543.53,-109.73,59.996,729.49,41.519,745.9,26.397,548.62,-163.26,59.997
1.9,543.49,-109.78,59.996,729.76,41.614,745.51,25.859,548.62,-163.3,59.997
1.9333,543.52,-109.82,59.996,729.95,41.796,745.42,25.646,548.62,-163.33,59.997
1.9667,543.54,-109.86,59.997,729.83,41.839,745.55,25.64,548.62,-163.36,59.997
2,543.56,-109.9,59.996,729.83,41.589,745.79,25.846,548.67,-163.4,59.997
2.0333,543.58,-109.95,59.996,729.74,41.407,746.04,26.051,548.65,-163.44,59.997
2.0667,543.55,-110,59.996,729.56,41.251,746.06,26.091,548.64,-163.48,59.997
2.1,543.57,-110.04,59.996,729.76,41.29,745.59,26.003,548.58,-163.52,59.997
2.1333,543.58,-110.09,59.997,729.87,41.395,744.92,25.709,548.57,-163.56,59.997
2.1667,543.61,-110.13,59.996,729.67,41.425,744.43,25.85,548.56,-163.59,59.997
2.2,543.64,-110.17,59.997,729.24,41.331,744.09,26.184,548.56,-163.63,59.997
2.2333,543.62,-110.21,59.997,728.61,41.135,743.64,26.267,548.5,-163.67,59.997
2.2667,543.66,-110.25,59.997,728.18,41.186,743.38,26.256,548.5,-163.7,59.997
2.3,543.66,-110.28,59.998,728.02,41.364,743.16,26.249,548.5,-163.74,59.998
2.3333,543.66,-110.3,59.997,727.8,41.364,743.23,26.462,548.51,-163.77,59.997
2.3667,543.66,-110.33,59.998,727.52,41.269,743.4,26.689,548.46,-163.81,59.997
2.4,543.67,-110.36,60,727.61,41.19,743.61,26.797,548.46,-163.84,59.997
2.4333,543.73,-110.38,59.998,728.14,41.337,743.73,26.868,548.47,-163.87,59.998
2.4667,543.75,-110.39,59.998,728.69,41.649,743.73,26.916,548.5,-163.9,59.998
2.5,543.71,-110.42,59.998,729.13,41.502,743.88,26.969,548.52,-163.93,59.997
2.5333,543.68,-110.44,59.998,729.33,41.376,743.87,27.057,548.5,-163.95,59.998
2.5667,543.65,-110.45,60,729.44,41.317,743.89,26.981,548.49,-163.97,60
2.6,543.67,-110.47,60,729.7,41.184,744.21,27.02,548.51,-164,59.997
2.6333,543.64,-110.49,60,729.98,41.215,744.38,27.199,548.49,-164.03,59.998
2.6667,543.61,-110.51,59.998,730.15,41.333,744.55,27.232,548.47,-164.05,59.998
2.7,543.58,-110.53,60,730.39,41.465,744.43,26.965,548.45,-164.08,59.998
2.7333,543.56,-110.54,60,730.56,41.645,744.3,26.925,548.38,-164.1,60
2.7667,543.59,-110.55,60,730.31,41.799,744.44,27.227,548.38,-164.12,59.998
2.8,543.62,-110.56,60,729.92,41.763,744.75,27.556,548.37,-164.14,59.998
2.8333,543.6,-110.58,60,729.62,41.78,744.91,27.734,548.37,-164.16,59.998
2.8667,543.53,-110.59,59.998,729.4,41.913,744.72,27.702,548.35,-164.19,59.998
2.9,543.51,-110.61,60,729.54,42.257,744.43,27.553,548.33,-164.21,60
2.9333,543.48,-110.63,60,729.63,42.361,744.46,27.477,548.32,-164.23,59.997
2.9667,543.5,-110.64,60,729.64,42.33,744.85,27.674,548.3,-164.26,59.998
3,543.53,-110.65,59.998,729.66,42.362,745.41,28.043,548.28,-164.28,59.998
3.0333,543.5,-110.67,59.998,729.99,42.507,745.72,28.266,548.25,-164.31,59.997
3.0667,543.46,-110.7,59.998,730.29,42.752,745.85,28.398,548.21,-164.35,59.997
3.1,543.46,-110.73,59.998,730.59,42.75,745.84,28.173,548.18,-164.38,59.998
3.1333,543.42,-110.75,59.998,730.59,42.634,745.67,28.024,548.15,-164.41,59.996
3.1667,543.37,-110.78,59.997,730.17,42.533,745.46,28.121,548.12,-164.44,59.997
3.2,543.42,-110.81,59.998,729.78,42.488,745.45,28.297,548.12,-164.47,59.997
3.2333,543.42,-110.84,59.997,729.55,42.652,745.51,28.672,548.06,-164.51,59.997
3.2667,543.42,-110.88,59.997,729.46,42.863,745.43,28.793,548.11,-164.55,59.997
3.3,543.36,-110.92,59.997,729.21,43.086,745.22,28.682,548.1,-164.59,59.996
3.3333,543.34,-110.96,59.997,729.11,43.316,744.9,28.618,548.05,-164.63,59.996
3.3667,543.34,-110.99,59.997,728.94,43.514,744.46,28.347,548.08,-164.67,59.997
