Time,Bus1.V,Bus1.A,Bus1.F,Line1.P,Line1.Q,Line2.P,Line2.Q,Bus2.V,Bus2.A,Bus2.F
0,543.42,-106.87,60.01491165,729.27,43.113,745.73,29.837,548.35,-160.66,60.01491165
0.033333,543.37,-106.88,60.01505661,729.48,43.298,746.16,30.161,548.34,-160.69,60.01505661
0.066667,543.33,-106.89,60.01508331,729.94,43.566,746.17,30.152,548.36,-160.71,60.01508331
0.1,543.29,-106.91,60.0151062,730.32,43.673,746.12,29.9,548.35,-160.75,60.0151062
0.13333,543.25,-106.93,60.0151329,730.55,43.742,746.14,29.748,548.29,-160.78,60.0151329
0.16667,543.21,-106.95,60.01515961,731.03,43.786,746.26,29.876,548.31,-160.82,60.01515961
0.2,543.2,-106.97,60.01489639,731.35,43.962,746.75,30.003,548.31,-160.85,60.01489639
0.23333,543.18,-107,60.01462936,731.5,44.038,746.91,29.992,548.33,-160.89,60.01462936
0.26667,543.14,-107.04,60.01436615,731.63,43.99,747.03,29.936,548.31,-160.92,60.01436615
0.3,543.15,-107.08,60.01427841,731.7,44.073,747.27,29.967,548.28,-160.96,60.01427841
0.33333,543.15,-107.13,60.0142746,731.81,44.275,747.48,30.015,548.25,-161,60.0142746
0.36667,543.2,-107.17,60.01419449,732.09,44.466,747.43,30.122,548.26,-161.05,60.01419449
0.4,543.22,-107.23,60.01436996,732.03,44.316,747.08,29.724,548.27,-161.09,60.01436996
0.43333,543.2,-107.28,60.01408768,731.69,44.042,746.7,29.518,548.28,-161.13,60.01408768
0.46667,543.2,-107.35,60.01442719,731.45,43.671,746.26,29.174,548.31,-161.17,60.01442719
0.5,543.23,-107.42,60.01420975,731.33,43.389,746.13,28.875,548.32,-161.21,60.01420975
0.53333,543.29,-107.49,60.0143013,731.27,43.349,746.07,28.738,548.32,-161.26,60.0143013
0.56667,543.36,-107.57,60.01422501,731.29,43.014,745.74,28.312,548.32,-161.3,60.01422501
0.6,543.39,-107.64,60.01414871,731.13,42.834,745.25,27.62,548.37,-161.35,60.01414871
0.63333,543.43,-107.72,60.01407623,731.08,42.932,744.61,26.813,548.39,-161.39,60.01407623
0.66667,543.45,-107.8,60.01400375,731.15,42.824,744.38,26.374,548.39,-161.44,60.01400375
0.7,543.52,-107.88,60.01393127,730.72,42.504,744.79,26.39,548.38,-161.48,60.01393127
0.73333,543.56,-107.96,60.0138588,729.88,42.01,745.28,26.676,548.38,-161.53,60.0138588
0.76667,543.6,-108.04,60.01378632,729.28,41.569,745.16,26.661,548.41,-161.58,60.01378632
0.8,543.63,-108.11,60.01371384,728.84,41.587,744.65,26.48,548.4,-161.63,60.01371384
0.83333,543.67,-108.19,60.01364136,728.58,41.559,744.13,25.959,548.37,-161.69,60.01364136
0.86667,543.66,-108.27,60.01372528,728.52,41.449,743.33,25.174,548.42,-161.74,60.01372528
0.9,543.7,-108.34,60.01388168,728.46,41.294,743.14,24.723,548.45,-161.79,60.01388168
0.93333,543.74,-108.42,60.01403809,728.52,40.995,743.55,24.651,548.47,-161.85,60.01403809
0.96667,543.76,-108.49,60.01420975,728.68,40.942,743.96,24.975,548.44,-161.91,60.01420975
1,543.77,-108.55,60.01440048,728.86,40.808,744.3,25.201,548.46,-161.96,60.01440048
1.0333,543.79,-108.62,60.01459122,728.83,40.463,744.69,25.181,548.48,-162.02,60.01459122
1.0667,543.8,-108.69,60.01478195,729.12,40.121,744.8,25.212,548.48,-162.08,60.01478195
1.1,543.81,-108.76,60.01496124,729.52,40.054,744.78,25.048,548.5,-162.14,60.01496124
1.1333,543.78,-108.82,60.01511383,729.86,40.138,744.49,24.745,548.48,-162.2,60.01511383
1.1667,543.81,-108.88,60.01527023,730.19,40.26,744.01,24.611,548.48,-162.26,60.01527023
1.2,543.84,-108.94,60.01542282,729.96,40.188,743.82,24.705,548.49,-162.32,60.01542282
1.2333,543.82,-109,60.01542282,729.22,40.29,743.66,24.744,548.47,-162.38,60.01542282
1.2667,543.82,-109.06,60.01534653,728.67,40.406,743.52,24.847,548.39,-162.44,60.01534653
1.3,543.77,-109.11,60.01527023,728,40.435,743.2,24.683,548.37,-162.49,60.01527023
1.3333,543.77,-109.16,60.01524734,727.4,40.518,742.9,24.394,548.44,-162.55,60.01524734
1.3667,543.78,-109.21,60.01524734,727.08,40.549,742.75,24.363,548.47,-162.61,60.01524734
1.4,543.81,-109.25,60.01504898,726.95,40.591,743.21,24.765,548.53,-162.65,60.01504898
1.4333,543.84,-109.28,60.01514816,726.9,40.711,743.95,25.193,548.48,-162.7,60.01514816
1.4667,543.81,-109.32,60.01512909,727.33,40.625,744.53,25.552,548.47,-162.76,60.01512909
1.5,543.8,-109.36,60.0149765,727.95,40.468,744.87,25.927,548.51,-162.81,60.0149765
1.5333,543.78,-109.39,60.01464844,728.56,40.392,745.04,25.929,548.49,-162.85,60.01464844
1.5667,543.72,-109.43,60.01435089,729.47,40.644,744.61,25.589,548.5,-162.9,60.01435089
