Date/Time,Dry-bulb (C),Dew-point (C),RHum (%),Wdir (degrees),Wspd (m/s),DNI (W/m^2),DHI (W/m^2),QIHL (W),Radwall (W/m^2),Radroof (W/m^2),Radwindow (W/m^2),Hconvection
7/3/17 0:00,31.1,-1.1,12,230,2.1,0,0,975.6038828,0,0,0,18.21809
7/3/17 1:00,29.4,-0.6,14,240,3.6,0,0,676.564123,0,0,0,23.36744
7/3/17 2:00,28.3,-0.6,15,260,3.6,0,0,569.0129264,0,0,0,23.36744
7/3/17 3:00,27.8,-1.1,15,250,3.1,0,0,515.8849361,0,0,0,21.65099
7/3/17 4:00,27.2,-0.6,16,270,4.1,0,0,494.6267674,0,0,0,25.08389
7/3/17 5:00,26.7,0,17,270,1.5,69,5,521.6229761,24.81062248,15.56123586,19.55689832,16.15835
7/3/17 6:00,27.2,1.1,18,200,2.1,484,37,572.9623553,162.3440997,124.898974,116.7201877,18.21809
7/3/17 7:00,32.8,1.1,13,0,0,712,59,758.3484547,214.8055584,264.2293322,140.6515515,11.009
7/3/17 8:00,35.6,3.9,14,310,1.5,821,79,951.0190888,218.0792356,431.5320403,131.7748026,16.15835
7/3/17 9:00,37.2,4.4,13,60,3.1,881,94,912.1089166,216.9922062,581.4720892,145.4949435,21.65099
7/3/17 10:00,40,1.1,9,20,5.2,915,105,998.2140196,229.2255063,701.1842366,200.6815484,28.86008
7/3/17 11:00,41.1,1.7,9,30,4.1,934,112,1077.336407,220.3804759,782.0967137,234.429978,25.08389
7/3/17 12:00,42.2,2.2,9,20,4.6,942,115,1097.724496,192.0271599,818.1720439,243.2807215,26.80034
7/3/17 13:00,42.8,3.3,9,140,2.6,939,114,1015.550978,219.2982892,805.7078779,237.8120937,19.93454
7/3/17 14:00,43.3,3.9,9,50,3.6,926,109,938.7968676,251.4062459,746.6822141,211.0171596,23.36744
7/3/17 15:00,43.9,3.9,9,360,3.1,900,100,830.7656237,260.4931806,645.1566114,161.6485029,21.65099
7/3/17 16:00,43.9,4.4,9,10,3.6,855,87,863.1655261,250.1869617,508.9870488,104.6925582,23.36744
7/3/17 17:00,43.3,4.4,10,60,3.1,775,69,841.3804571,263.0626468,347.8054206,121.1427084,21.65099
7/3/17 18:00,42.8,3.9,9,310,1.5,620,48,950.3906285,233.0774784,180.32877,120.3702613,16.15835
7/3/17 19:00,41.7,2.8,9,210,3.1,264,23,1094.116935,110.623877,67.00232709,66.73401869,21.65099
7/3/17 20:00,38.9,3.9,12,220,1.5,0,0,1174.313454,0,0,0,16.15835
7/3/17 21:00,35,1.7,12,250,4.6,0,0,1333.745537,0,0,0,26.80034
7/3/17 22:00,34.4,3.9,15,330,3.1,0,0,1534.104689,0,0,0,21.65099
7/3/17 23:00,33.9,0,12,10,2.6,0,0,1325.412655,0,0,0,19.93454
7/4/17 0:00,33.9,1.1,13,290,2.1,0,0,975.6038828,0,0,0,18.21809
7/4/17 1:00,31.1,-2.2,11,260,3.6,0,0,676.564123,0,0,0,23.36744
7/4/17 2:00,29.4,-2.2,12,260,4.1,0,0,569.0129264,0,0,0,25.08389
7/4/17 3:00,28.3,-2.2,13,260,4.1,0,0,515.8849361,0,0,0,25.08389
7/4/17 4:00,26.7,-2.8,14,260,3.6,0,0,494.6267674,0,0,0,23.36744
7/4/17 5:00,26.7,-2.2,15,250,3.6,97,5,521.6229761,32.8397289,19.77064934,25.44465189,23.36744
7/4/17 6:00,31.1,-1.1,12,190,1.5,538,32,572.9623553,171.2843293,129.2890411,120.4990077,16.15835
7/4/17 7:00,33.3,1.1,13,120,1.5,752,50,758.3484547,214.5006014,266.003291,136.0565303,16.15835
7/4/17 8:00,35.6,1.1,11,10,1.5,851,67,951.0190888,211.0870247,431.6671776,121.4645825,16.15835
