Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,467381,-,-,-,39.73,-105.14,-7,1746,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DNI,Temperature,Wind Speed
2015,1,1,0,0,0,-11.732366943359352,3.296987771987915
2015,1,1,0,30,0,-11.641943359374977,3.3717548847198486
2015,1,1,1,0,0,-11.551519775390602,3.4465219974517822
2015,1,1,1,30,0,-11.461981201171852,3.428023338317871
2015,1,1,2,0,0,-11.372412109374977,3.409524440765381
2015,1,1,2,30,0,-11.324438476562477,3.273158550262451
2015,1,1,3,0,0,-11.276464843749977,3.1367924213409424
2015,1,1,3,30,0,-11.360571289062477,2.8544704914093018
2015,1,1,4,0,0,-11.444708251953102,2.572148561477661
2015,1,1,4,30,0,-11.953985595703102,2.1097259521484375
2015,1,1,5,0,0,-12.463293457031227,1.6473031044006348
2015,1,1,5,30,0,-12.939245605468727,1.1290299892425537
2015,1,1,6,0,0,-13.415228271484352,0.6107569336891174
2015,1,1,6,30,0,-13.162268066406227,0.6160805821418762
2015,1,1,7,0,0,-12.909307861328102,0.621404230594635
2015,1,1,7,30,0,-10.824224853515602,0.8124721050262451
2015,1,1,8,0,550,-8.739111328124977,1.0035399198532104
2015,1,1,8,30,0,-7.538092041015602,1.0489208698272705
2015,1,1,9,0,812,-6.337103271484352,1.0943019390106201
2015,1,1,9,30,873,-5.535772705078102,1.2535805702209473
2015,1,1,10,0,913,-4.734442138671852,1.412859320640564
2015,1,1,10,30,6,-4.374212646484352,1.5407763719558716
