time,power_RightAway_kW,power_Midnight_kW,power_TCIN_kW
0,0,0,59686
1,0,0,59686
2,0,0,59686
3,0,0,59686
4,0,0,59686
5,0,0,59686
6,0,0,59686
7,0,0,59686
8,0,0,59686
9,0,0,59686
10,0,0,59686
11,0,0,59686
12,0,0,59686
13,0,0,59686
14,0,0,59686
15,0,0,59686
16,0,0,59686
17,0,0,59686
18,0,0,59686
19,0,0,59686
20,0,0,59686
21,0,0,59686
22,0,0,59686
23,0,0,59686
24,0,0,59686
25,0,0,59686
26,0,0,59686
27,0,0,59686
28,0,0,59686
29,0,0,59686
30,0,0,59686
31,0,0,59686
32,0,0,59686
33,0,0,59686
34,0,0,59686
35,0,0,59686
36,0,0,59686
37,0,0,59686
38,0,0,59686
39,0,0,59686
40,0,0,59686
41,0,0,59686
42,0,0,59686
43,0,0,59686
44,0,0,59686
45,0,0,59686
46,0,0,59686
47,0,0,59686
48,0,0,59686
49,0,0,59686
50,0,0,59686
51,0,0,59686
52,0,0,59686
53,0,0,59686
54,0,0,59686
55,0,0,59686
56,0,0,59686
57,0,0,59686
58,0,0,59686
59,0,0,59686
60,0,0,59686
61,0,0,59686
62,0,0,59686
63,0,0,59686
64,0,0,59686
65,0,0,59686
66,0,0,59686
67,0,0,59686
68,0,0,59686
69,0,0,59686
70,0,0,59686
71,0,0,59686
72,0,0,59686
73,0,0,59686
74,0,0,59686
75,0,0,59686
76,0,0,59686
77,0,0,59686
78,0,0,59686
79,0,0,59686
80,0,0,59686
81,0,0,59686
82,0,0,59686
83,0,0,59686
84,0,0,59686
85,0,0,59686
86,0,0,59686
87,0,0,59686
88,0,0,59686
89,0,0,59686
90,0,0,59686
91,0,0,59686
92,0,0,59686
93,0,0,59686
94,0,0,59686
95,0,0,59686
96,0,0,59686
97,0,0,59686
98,0,0,59686
99,0,0,59686
100,0,0,59686
101,0,0,59686
102,0,0,59686
103,0,0,59686
104,0,0,59686
105,0,0,59686
106,0,0,59686
107,0,0,59686
108,0,0,59686
109,0,0,59686
110,0,0,59686
111,0,0,59686
112,0,0,59686
113,0,0,59686
114,0,0,59686
115,0,0,59686
116,0,0,59686
117,0,0,59686
118,0,0,59686
119,0,0,59686
120,0,0,59686
121,0,0,59686
122,0,0,59686
123,0,0,59686
124,0,0,59686
125,0,0,59686
126,0,0,59686
127,0,0,59686
128,0,0,59686
129,0,0,59686
130,0,0,59686
131,0,0,59686
132,0,0,59686
133,0,0,59686
134,0,0,59686
135,0,0,59686
136,0,0,59686
137,0,0,59686
138,0,0,59686
139,0,0,59686
140,0,0,59686
141,0,0,59686
142,0,0,59686
143,0,0,59686
144,0,0,59686
145,0,0,59686
146,0,0,59686
147,0,0,59686
148,0,0,59686
149,0,0,59686
150,0,0,59686
151,0,0,59686
152,0,0,59686
153,0,0,59686
154,0,0,59686
155,0,0,59686
156,0,0,59686
157,0,0,59686
158,0,0,59686
159,0,0,59686
160,0,0,59686
161,0,0,59686
162,0,0,59686
163,0,0,59686
164,0,0,59686
165,0,0,59686
166,0,0,59686
167,0,0,59686
168,0,0,59686
169,0,0,59686
170,0,0,59686
171,0,0,59686
172,0,0,59686
173,0,0,59686
174,0,0,59686
175,0,0,59686
176,0,0,59686
177,0,0,59686
178,0,0,59686
179,0,0,59686
180,0,0,59686
181,0,0,59686
182,0,0,59686
183,0,0,59686
184,0,0,59686
185,0,0,59686
186,0,0,59686
187,0,0,59686
188,0,0,59686
189,0,0,59686
190,0,0,59686
191,0,0,59686
192,0,0,59686
193,0,0,59686
194,0,0,59686
195,0,0,59686
196,0,0,59686
197,0,0,59686
198,0,0,59686
199,0,0,59686
200,0,0,59686
201,0,0,59686
202,0,0,59686
203,0,0,59686
204,0,0,59686
205,0,0,59686
206,0,0,59686
207,0,0,59686
208,0,0,59686
209,0,0,59686
210,0,0,59686
211,0,0,59686
212,0,0,59686
213,0,0,59686
214,0,0,59686
215,0,0,59686
216,0,0,59686
217,0,0,59686
218,0,0,59686
219,0,0,59686
220,0,0,59686
221,0,0,59686
222,0,0,59686
223,0,0,59686
224,0,0,59686
225,0,0,59686
226,0,0,59686
227,0,0,59686
228,0,0,59686
229,0,0,59686
230,0,0,59686
231,0,0,59686
232,0,0,59686
233,0,0,59686
234,0,0,59686
235,0,0,59686
236,0,0,59686
237,0,0,59686
238,0,0,59686
239,0,0,59686
240,0,0,59686
241,0,0,59686
242,0,0,59686
243,0,0,59686
244,0,0,59686
245,0,0,59686
246,0,0,59686
247,0,0,59686
248,0,0,59686
249,0,0,59686
250,0,0,59686
251,0,0,59686
252,0,0,59686
253,0,0,59686
254,0,0,59686
255,0,0,59686
256,0,0,59686
257,0,0,59686
258,0,0,59686
259,0,0,59686
260,0,0,59686
261,0,0,59686
262,0,0,59686
263,0,0,59686
264,0,0,59686
265,0,0,59686
266,0,0,59686
267,0,0,59686
268,0,0,59686
269,0,0,59686
270,0,0,59686
271,0,0,59686
272,0,0,59686
273,0,0,59686
274,0,0,59686
275,0,0,59686
276,0,0,59686
277,0,0,59686
278,0,0,59686
279,0,0,59686
280,0,0,59686
281,0,0,59686
282,0,0,59686
283,0,0,59686
284,0,0,59686
285,0,0,59686
286,0,0,59686
287,0,0,59686
288,0,0,59686
289,0,0,59686
290,0,0,59686
291,0,0,59686
292,0,0,59686
293,0,0,59686
294,0,0,59686
295,0,0,59686
296,0,0,59686
297,0,0,59686
298,0,0,59686
299,0,0,59686
300,0,0,59686
301,0,0,59686
302,0,0,59686
303,0,0,59686
304,0,0,59686
305,0,0,59686
306,0,0,59686
307,0,0,59686
308,0,0,59686
309,0,0,59686
310,0,0,59686
311,0,0,59686
312,0,0,59686
313,0,0,59686
314,0,0,59686
315,0,0,59686
316,0,0,59686
317,0,0,59686
318,0,0,59686
319,0,0,59686
320,0,0,59686
321,0,0,59686
322,0,0,59686
323,0,0,59686
324,0,0,59686
325,0,0,59686
326,0,0,59686
327,0,0,59686
328,0,0,59686
329,0,0,59686
330,0,0,59686
331,0,0,59686
332,0,0,59686
333,0,0,59686
334,0,0,59686
335,0,0,59686
336,0,0,59686
337,0,0,59686
338,0,0,59686
339,0,0,59686
340,0,0,59686
341,0,0,59686
342,0,0,59686
343,0,0,59686
344,0,0,59686
345,0,0,59686
346,0,0,59686
347,0,0,59686
348,0,0,59686
349,0,0,59686
350,0,0,59686
351,0,0,59686
352,0,0,59686
353,0,0,59686
354,0,0,59686
355,0,0,59686
356,0,0,59686
357,0,0,59686
358,0,0,59686
359,0,0,59686
360,0,0,59686
361,0,0,59686
362,0,0,59686
363,0,0,59686
364,0,0,59686
365,0,0,59686
366,0,0,59686
367,0,0,59686
368,0,0,59686
369,0,0,59686
370,0,0,59686
371,0,0,59686
372,0,0,59686
373,0,0,59686
374,0,0,59686
375,0,0,59686
376,0,0,59686
377,0,0,59686
378,0,0,59686
379,0,0,59686
380,0,0,59686
381,0,0,59686
382,0,0,59686
383,0,0,59686
384,0,0,59686
385,0,0,59686
386,0,0,59686
387,0,0,59686
388,0,0,59686
389,0,0,59686
390,0,0,59686
391,0,0,59686
392,0,0,59686
393,0,0,59686
394,0,0,59686
395,0,0,59686
396,0,0,59686
397,0,0,59686
398,0,0,59686
399,0,0,59686
400,0,0,59686
401,0,0,59686
402,0,0,59686
403,0,0,59686
404,0,0,59686
405,0,0,59686
406,0,0,59686
407,0,0,59686
408,0,0,59686
409,0,0,59686
410,0,0,59686
411,0,0,59686
412,0,0,59686
413,0,0,59686
414,0,0,59686
415,0,0,59686
416,0,0,59686
417,0,0,59686
418,0,0,59686
419,0,0,59686
420,0,0,59686
421,0,0,59686
422,0,0,59686
423,0,0,59686
424,0,0,59686
425,0,0,59686
426,0,0,59686
427,0,0,59686
428,0,0,59686
429,0,0,59686
430,0,0,59686
431,0,0,59686
432,0,0,59686
433,0,0,59686
434,0,0,59686
435,0,0,59686
436,0,0,59686
437,0,0,59686
438,0,0,59686
439,0,0,59686
440,0,0,59686
441,0,0,59686
442,0,0,59686
443,0,0,59686
444,0,0,59686
445,0,0,59686
446,0,0,59686
447,0,0,59686
448,0,0,59686
449,0,0,59686
450,0,0,59686
451,0,0,59686
452,0,0,59686
453,0,0,59686
454,0,0,59686
455,0,0,59686
456,0,0,59686
457,0,0,59686
458,0,0,59686
459,0,0,59686
460,0,0,59686
461,0,0,59686
462,0,0,59686
463,0,0,59686
464,0,0,59686
465,0,0,59686
466,0,0,59686
467,0,0,59686
468,0,0,59686
469,0,0,59686
470,0,0,59686
471,0,0,59686
472,0,0,59686
473,0,0,59686
474,0,0,59686
475,0,0,59686
476,0,0,59686
477,0,0,59686
478,0,0,59686
479,0,0,59686
480,0,0,59686
481,0,0,59686
482,0,0,59686
483,0,0,59686
484,0,0,59686
485,0,0,59686
486,0,0,59686
487,0,0,59686
488,0,0,59686
489,0,0,59686
490,0,0,59686
491,0,0,59686
492,0,0,59686
493,0,0,59686
494,0,0,59686
495,0,0,59686
496,0,0,59686
497,0,0,59686
498,0,0,59686
499,0,0,59686
500,0,0,59686
501,0,0,59686
502,0,0,59686
503,0,0,59686
504,0,0,59686
505,0,0,59686
506,0,0,59686
507,0,0,59686
508,0,0,59686
509,0,0,59686
510,0,0,59686
511,0,0,59686
512,0,0,59686
513,0,0,59686
514,0,0,59686
515,0,0,59686
516,0,0,59686
517,0,0,59686
518,0,0,59686
519,0,0,59686
520,0,0,59686
521,0,0,59686
522,0,0,59686
523,0,0,59686
524,0,0,59686
525,0,0,59686
526,0,0,59686
527,0,0,59686
528,0,0,59686
529,0,0,59686
530,0,0,59686
531,0,0,59686
532,0,0,59686
533,0,0,59686
534,0,0,59686
535,0,0,59686
536,0,0,59686
537,0,0,59686
538,0,0,59686
539,0,0,59686
540,0,0,59686
541,0,0,59686
542,0,0,59686
543,0,0,59686
544,0,0,59686
545,0,0,59686
546,0,0,59686
547,0,0,59686
548,0,0,59686
549,0,0,59686
550,0,0,59686
551,0,0,59686
552,0,0,59686
553,0,0,59686
