Hours since 00:00 Jan 1,My Design - Living Space: Indoor Temperature (F),My Design - Living Space: Indoor Relative Humidity (%),My Design - Garage: Indoor Temperature (F),My Design - Garage: Indoor Relative Humidity (%),My Design - Unfinished Basement: Indoor Temperature (F),My Design - Unfinished Basement: Indoor Relative Humidity (%),My Design - Unfinished Attic: Indoor Temperature (F),My Design - Unfinished Attic: Indoor Relative Humidity (%),My Design - Domestic Water System: Water Heater Inlet Temperature (F)
0.5,71,15.4161,23.1655,62.4951,70.5284,13.5707,15.8767,78.0202,50.0784
1.5,71,15.3258,20.0159,72.7897,71.0362,13.4332,8.85643,98.9076,50.0784
2.5,71,15.0108,17.3399,81.9378,71.2233,13.3123,4.93259,100,50.0784
3.5,71,14.7309,16.1467,86.0784,71.3043,13.2265,2.27508,100,50.0784
4.5,71,14.5502,15.6525,87.8526,71.3616,13.1943,1.51674,100,50.0784
5.5,71,14.3927,15.662,87.4491,71.3252,13.1791,2.31663,99.434,50.0784
6.5,71,14.2607,16.1004,85.26,71.3983,13.1016,4.07554,98.5491,50.0784
7.5,71,14.2106,16.786,82.3312,71.0222,13.2487,6.5785,94.8265,50.0784
8.5,71,14.244,18.3798,76.287,70.6015,13.4412,11.7727,81.3909,50.0784
9.5,71,14.4266,21.4532,65.936,70.0207,13.705,20.6515,58.7788,50.0784
10.5,71,14.8351,26.7555,51.4749,69.6008,13.8729,33.0329,36.4631,50.0784
11.5,71,14.8365,32.5486,39.5936,69.3268,13.9885,43.2854,25.9277,50.0784
12.5,71,14.8439,36.8746,33.3232,69.117,14.0896,46.9564,24.4028,50.0784
13.5,71,14.7944,38.5969,31.2713,69.1074,14.0874,46.3676,25.8986,50.0784
14.5,71,14.8731,38.8556,31.1062,68.9574,14.1561,44.633,28.076,50.0784
15.5,71,15.1749,38.2541,31.9505,68.6509,14.2899,42.5734,30.1351,50.0784
16.5,71,15.1271,36.54,34.2395,68.731,14.2329,38.951,34.5583,50.0784
17.5,71,15.219,33.4295,38.943,68.9278,14.1502,33.3273,44.8493,50.0784
18.5,71,15.3477,30.2385,44.988,69.0843,14.0974,28.0007,58.0937,50.0784
19.5,71,15.41,27.6826,50.7361,69.0808,14.1072,24.2957,66.7977,50.0784
20.5,71,15.4644,26.0745,54.6156,68.9172,14.1789,22.2508,70.2502,50.0784
21.5,71,15.4866,24.9616,57.5154,68.7921,14.2378,20.3698,75.1149,50.0784
22.5,71,15.469,24.1023,59.9067,69.2259,14.0535,19.255,76.5234,50.0784
23.5,71,15.3123,23.7945,60.3998,69.849,13.7322,20.0947,68.023,50.0784
24.5,71,15.0281,24.1351,58.8554,70.7303,13.3062,21.6121,57.723,50.0784
25.5,71,14.7653,24.3375,57.8032,70.9376,13.2275,21.6492,53.7029,50.0784
26.5,71,14.5176,24.2167,57.5505,70.8983,13.2358,21.563,50.3371,50.0784
27.5,71,14.2734,24.0414,57.398,70.9455,13.1923,20.9259,48.9574,50.0784
28.5,71,14.1285,23.6004,58.2876,70.8872,13.2445,20.115,49.5649,50.0784
29.5,71,14.3634,23.3625,58.5426,70.2232,13.5038,19.7202,49.6677,49.9711
30.5,71,14.7237,23.1817,58.6139,70.2622,13.4241,19.7032,49.0267,49.968
31.5,71,14.6379,23.482,57.5742,70.1105,13.4847,20.7699,45.9838,49.968
32.5,71,14.8427,24.352,55.2544,69.4877,13.789,23.4481,40.7711,49.968
33.5,71,14.829,26.5749,49.8453,69.3702,13.8613,29.7201,31.5513,49.968
34.5,71,14.7403,31.7104,39.4864,69.0626,14.0016,40.5347,21.2632,49.968
35.5,71.0733,14.7004,37.3065,31.3379,68.3394,14.3366,51.0817,14.7829,49.968
36.5,71,14.8458,41.3951,26.6249,67.4227,14.7596,57.4351,11.6085,49.968
37.5,71,14.8119,43.9139,24.0638,67.4316,14.7073,59.7171,10.8077,49.968
38.5,71,14.8043,45.124,22.9698,67.1794,14.8036,60.1718,11.4665,49.968
39.5,71,14.8418,45.4528,22.752,66.9477,14.9119,58.0885,13.7963,49.968
40.5,71,14.8617,43.5188,24.5154,67.0367,14.8293,53.1602,17.3402,49.968
41.5,71,14.9186,40.766,27.2638,67.2373,14.6988,47.2008,22.0573,49.968
42.5,71,15.0323,38.2152,30.1931,67.1267,14.7665,41.0924,28.3504,49.968
43.5,71,15.1323,35.5298,33.632,67.1304,14.7568,35.7461,35.3737,49.968
44.5,71,15.1814,33.2791,36.8285,67.4415,14.5815,31.9993,41.5234,49.968
45.5,71,15.1843,31.5235,39.617,67.7396,14.4111,29.4765,45.7953,49.968
46.5,71,15.203,30.4807,41.583,67.8085,14.3824,28.107,47.5806,49.968
47.5,71,15.1659,29.8196,42.7884,68.0347,14.2418,27.1702,48.0628,49.968
48.5,71,15.0883,29.6555,42.9509,68.5023,13.9788,27.2978,45.7308,49.968
49.5,71,15.0012,29.734,42.6554,68.9207,13.7709,27.8892,42.5084,49.968
50.5,71,14.8943,29.8294,42.3231,69.2586,13.6177,28.2778,40.1667,49.968
51.5,71,14.7973,29.7098,42.4628,69.4491,13.5525,27.9641,39.8434,49.968
52.5,71,14.7127,29.4317,42.973,69.6767,13.4959,27.6271,39.73,49.968
53.5,71,14.5692,29.3366,42.9549,69.8326,13.4276,27.9679,38.3398,49.9079
54.5,71,14.3933,29.5693,42.2315,69.9516,13.362,28.4996,36.7663,49.86
55.5,71,14.296,29.8412,41.5781,69.6226,13.5194,29.0451,36.2671,49.8597
56.5,71,14.3608,30.7391,39.8601,69.1151,13.7703,32.099,32.2665,49.8597
57.5,71,14.4182,33.1567,35.8939,68.5717,14.0392,37.8159,25.7968,49.8597
58.5,71,14.4189,36.4927,31.4973,68.3255,14.1847,44.1872,20.9703,49.8597
59.5,71,14.4122,40.7663,26.7252,67.9221,14.3781,50.4481,17.6581,49.8597
60.5,71,14.3077,43.3841,24.13,68.1284,14.2544,50.7095,18.0895,49.8597
61.5,71,14.1986,43.499,24.1137,68.5014,14.0696,47.9361,21.1526,49.8597
62.5,71,14.0016,42.8986,24.6853,68.7363,13.943,44.4154,23.7032,49.8597
63.5,71,13.8943,40.8477,26.7471,68.5192,14.0402,40.1568,27.6693,49.8597
64.5,71,13.8296,37.4887,30.5017,68.6344,13.9795,34.8045,33.3992,49.8597
65.5,71,13.8158,33.8451,35.1581,68.8027,13.8706,29.1995,41.1685,49.8597
66.5,71,13.9759,30.7851,39.9302,68.4014,14.0321,24.9636,49.3867,49.8597
67.5,71,14.3783,29.0224,43.2123,68.0151,14.1859,22.0368,55.708,49.8597
68.5,71,14.3692,27.5091,46.205,68.4105,13.9459,18.8101,64.5849,49.8597
69.5,71,14.3086,25.921,49.6043,68.7959,13.7314,15.6464,74.2245,49.8597
70.5,71,14.2624,24.5927,52.7529,69.2109,13.553,13.2514,81.7078,49.8597
71.5,71,14.1257,23.3141,55.7282,69.6878,13.2982,11.0612,88.3966,49.8597
72.5,71,13.9719,22.3118,58.0917,70.1101,13.0671,9.48246,93.4408,49.8274
73.5,71,13.8299,21.2888,60.7318,70.5066,12.8758,7.45323,99.2823,49.7541
74.5,71,13.6335,19.9392,64.3751,70.8986,12.6827,4.86421,100,49.7541
75.5,71,13.4332,18.7542,67.6652,71.0981,12.57,3.48482,99.6801,49.7541
76.5,71,13.2964,18.154,69.3936,71.1944,12.535,3.43238,98.2947,49.7541
77.5,71,13.1564,17.8775,69.9973,71.1906,12.5118,3.476,97.2994,49.7541
78.5,71,12.9944,17.7557,70.0341,71.3384,12.4025,3.76347,95.4539,49.754
79.5,71,12.8782,17.7935,69.6503,70.905,12.5422,4.73092,91.2228,49.754
80.5,71,12.8681,18.5324,67.3098,70.3976,12.7618,8.90559,77.1195,49.754
81.5,71,13.0462,20.9067,60.2364,69.8912,12.9896,16.8413,56.1554,49.7538
82.5,71,13.1185,25.4273,48.6887,69.9491,12.935,27.5468,37.4906,49.7538
83.5,71,13.1478,30.0018,39.4139,69.4057,13.1728,35.8564,28.1576,49.7538
84.5,71,13.2342,33.9489,33.3657,68.9372,13.3959,42.7882,22.6121,49.7538
85.5,71,13.3279,36.8825,29.9015,68.6494,13.5293,47.7719,20.997,49.7538
86.5,71,13.4507,39.2713,27.5602,68.3913,13.6629,50.8541,21.6653,49.7538
87.5,71,13.5882,40.7858,26.3626,68.1819,13.7665,51.6517,23.7179,49.7538
88.5,71,13.9036,40.6944,26.8586,67.8631,13.9041,49.7872,27.9529,49.7538
89.5,71,14.1769,39.1859,28.6898,67.6799,14.0028,46.9742,32.274,49.7538
90.5,71,14.4979,38.0884,30.2627,67.1736,14.2804,44.1431,36.8403,49.7538
91.5,71,14.7225,37.5118,31.1795,66.7268,14.5032,42.7222,38.2779,49.7538
92.5,71,14.8549,37.2506,31.6031,66.5222,14.5934,41.9607,37.5127,49.7538
93.5,71.0774,14.9074,37.0302,31.9211,66.7149,14.4673,41.0236,36.5912,49.7538
94.5,71.0992,15.1402,36.6037,32.4624,66.7492,14.4188,39.8998,36.7538,49.7538
95.5,71.026,15.3578,36.696,32.3976,66.6906,14.436,41.5157,33.474,49.7538
96.5,71,15.4648,37.9097,30.9123,66.965,14.2754,42.8848,30.5249,49.7538
97.5,71,15.4607,38.0285,30.8571,67.7384,13.8941,43.2042,30.0786,49.7538
98.5,71,15.5076,39.5664,29.333,67.7896,13.8936,46.9293,27.374,49.7538
99.5,71,15.5869,40.7036,28.4065,67.8141,13.9297,47.8324,27.6686,49.7538
100.5,71,15.6976,40.5795,28.8614,67.768,14.0144,46.9567,29.2423,49.7538
101.5,71,15.7961,40.3303,29.3583,67.6433,14.1066,46.3716,30.2707,49.685
102.5,71,15.8915,40.0101,29.9685,67.7783,14.0743,44.339,33.5367,49.6524
103.5,71.2129,16.0249,39.0937,31.3298,67.5028,14.2564,42.9966,36.4777,49.6502
104.5,71,16.3915,39.3273,31.297,66.292,14.8989,46.2091,33.3487,49.6502
105.5,71.0156,16.4932,41.1487,29.5143,66.0593,15.0614,51.8396,28.0142,49.6502
106.5,71.0034,16.5376,45.1753,25.5478,66.0746,15.0655,58.0335,22.4771,49.6502
107.5,71.8183,16.1012,49.3016,22.0478,66.0291,15.0986,62.8774,18.426,49.6502
108.5,72.8626,15.5826,52.8716,19.4528,66.0663,15.0893,67.4027,15.3521,49.6502
109.5,73.4063,15.3496,55.1351,18.0004,66.0532,15.1076,69.2263,14.1359,49.6502
110.5,73.2201,15.5094,55.3585,17.9509,65.9973,15.1535,67.2594,15.4125,49.6502
111.5,72.8691,15.7993,53.4347,19.4218,65.9217,15.2234,62.2122,19.6703,49.6502
112.5,72.2882,16.2445,50.4365,21.8829,65.8546,15.2895,55.7676,26.0054,49.6502
113.5,71.3421,16.9512,46.223,25.8115,65.7673,15.362,48.3924,34.6486,49.6502
114.5,71.8447,16.7816,42.9704,29.244,65.7109,15.3895,43.0808,39.2544,49.6502
115.5,71.1017,17.2797,40.8375,31.7327,65.57,15.4501,39.5312,40.9448,49.6502
116.5,71,17.3508,39.3061,33.6732,65.7591,15.3326,36.9605,42.4997,49.6502
117.5,71,17.3533,37.9705,35.5004,66.1932,15.1005,34.4107,45.4628,49.6502
118.5,71,17.4142,36.7259,37.4017,66.5243,14.9759,32.2722,48.9249,49.6502
119.5,71,17.3641,35.7781,38.7458,67.0096,14.7132,30.7789,50.9522,49.6502
120.5,71,17.4204,35.2071,39.4893,67.1661,14.6216,30.217,49.884,49.5868
121.5,71,17.8516,35.1377,39.5004,66.5939,14.9162,30.8505,45.8025,49.5489
122.5,71,17.7228,35.386,38.9733,67.7744,14.3399,31.5448,41.3064,49.5489
123.5,71,17.5612,35.3222,38.8881,68.0042,14.2511,31.3166,38.8094,49.5489
124.5,71,17.4521,34.9247,39.4377,68.2307,14.2126,30.5066,38.2233,49.5489
125.5,71,17.322,34.2207,40.4283,68.2798,14.2189,29.3541,39.2844,49.5489
126.5,71,17.1102,33.6824,41.0565,68.5442,14.0953,28.9089,38.9255,49.5489
127.5,71,16.9415,33.5076,41.1575,68.4524,14.1795,29.0145,38.2958,49.5489
128.5,71,16.8048,33.646,40.7725,68.1487,14.3719,30.4507,35.6111,49.5489
129.5,71,16.7115,34.5529,39.3199,67.8853,14.5433,34.1587,32.0814,49.5489
130.5,71,16.6838,37.0642,35.7339,67.8719,14.5971,39.9483,28.5529,49.5489
131.5,71,16.6463,41.0205,30.6953,67.5188,14.8088,46.0807,24.1438,49.5489
