year,month,day,hour,load_forecast_mw
2010,Jul,18,0,12245
2010,Jul,18,1,11783
2010,Jul,18,2,11525
2010,Jul,18,3,11381
2010,Jul,18,4,11322
2010,Jul,18,5,11306
2010,Jul,18,6,11274
2010,Jul,18,7,11421
2010,Jul,18,8,11823
2010,Jul,18,9,12466
2010,Jul,18,10,13346
2010,Jul,18,11,14287
2010,Jul,18,12,15185
2010,Jul,18,13,16090
2010,Jul,18,14,16913
2010,Jul,18,15,17565
2010,Jul,18,16,17893
2010,Jul,18,17,17744
2010,Jul,18,18,17042
2010,Jul,18,19,16222
2010,Jul,18,20,16360
2010,Jul,18,21,15660
2010,Jul,18,22,14567
2010,Jul,18,23,13332
2010,Jul,19,0,12223
2010,Jul,19,1,12044
2010,Jul,19,2,11772
2010,Jul,19,3,11649
2010,Jul,19,4,11695
2010,Jul,19,5,11994
2010,Jul,19,6,12523
2010,Jul,19,7,13462
2010,Jul,19,8,14657
2010,Jul,19,9,16026
2010,Jul,19,10,17571
2010,Jul,19,11,18924
2010,Jul,19,12,19987
2010,Jul,19,13,21280
2010,Jul,19,14,22381
2010,Jul,19,15,23002
2010,Jul,19,16,22878
2010,Jul,19,17,21836
2010,Jul,19,18,20213
2010,Jul,19,19,18836
2010,Jul,19,20,18824
2010,Jul,19,21,17595
2010,Jul,19,22,15422
2010,Jul,19,23,13675
2010,Jul,20,0,12479
2010,Jul,20,1,11992
2010,Jul,20,2,11719
2010,Jul,20,3,11596
2010,Jul,20,4,11643
2010,Jul,20,5,11942
2010,Jul,20,6,12477
2010,Jul,20,7,13438
2010,Jul,20,8,14673
2010,Jul,20,9,16093
2010,Jul,20,10,17706
2010,Jul,20,11,19119
2010,Jul,20,12,20232
2010,Jul,20,13,21589
2010,Jul,20,14,22744
2010,Jul,20,15,23397
2010,Jul,20,16,23266
2010,Jul,20,17,22172
2010,Jul,20,18,20470
2010,Jul,20,19,19029
2010,Jul,20,20,19015
2010,Jul,20,21,17884
2010,Jul,20,22,15658
2010,Jul,20,23,13857
2010,Jul,21,0,12615
2010,Jul,21,1,12095
2010,Jul,21,2,11812
2010,Jul,21,3,11683
2010,Jul,21,4,11731
2010,Jul,21,5,12043
2010,Jul,21,6,12595
2010,Jul,21,7,13570
2010,Jul,21,8,14814
2010,Jul,21,9,16236
2010,Jul,21,10,17842
2010,Jul,21,11,19244
2010,Jul,21,12,20349
2010,Jul,21,13,21692
2010,Jul,21,14,22834
2010,Jul,21,15,23479
2010,Jul,21,16,23350
2010,Jul,21,17,22269
2010,Jul,21,18,20583
2010,Jul,21,19,19155
2010,Jul,21,20,19141
2010,Jul,21,21,17882
2010,Jul,21,22,15629
2010,Jul,21,23,13814
2010,Jul,22,0,12569
2010,Jul,22,1,12043
2010,Jul,22,2,11768
2010,Jul,22,3,11643
2010,Jul,22,4,11691
2010,Jul,22,5,11993
2010,Jul,22,6,12529
2010,Jul,22,7,13482
2010,Jul,22,8,14699
2010,Jul,22,9,16093
2010,Jul,22,10,17670
2010,Jul,22,11,19049
2010,Jul,22,12,20134
2010,Jul,22,13,21455
2010,Jul,22,14,22579
2010,Jul,22,15,23215
2010,Jul,22,16,23087
2010,Jul,22,17,22024
2010,Jul,22,18,20366
2010,Jul,22,19,18961
2010,Jul,22,20,18947
2010,Jul,22,21,17628
2010,Jul,22,22,15397
2010,Jul,22,23,13614
2010,Jul,23,0,12408
2010,Jul,23,1,11891
2010,Jul,23,2,11645
2010,Jul,23,3,11534
2010,Jul,23,4,11576
2010,Jul,23,5,11845
2010,Jul,23,6,12330
2010,Jul,23,7,13200
2010,Jul,23,8,14319
2010,Jul,23,9,15608
2010,Jul,23,10,17069
2010,Jul,23,11,18352
2010,Jul,23,12,19361
2010,Jul,23,13,20593
2010,Jul,23,14,21641
2010,Jul,23,15,22235
2010,Jul,23,16,22116
2010,Jul,23,17,21122
2010,Jul,23,18,19577
2010,Jul,23,19,18270
2010,Jul,23,20,18258
2010,Jul,23,21,16688
2010,Jul,23,22,14546
2010,Jul,23,23,12902
2010,Jul,24,0,12514
2010,Jul,24,1,11779
2010,Jul,24,2,11345
2010,Jul,24,3,11235
2010,Jul,24,4,11203
2010,Jul,24,5,11226
2010,Jul,24,6,11252
2010,Jul,24,7,11442
2010,Jul,24,8,11936
2010,Jul,24,9,12694
2010,Jul,24,10,13628
2010,Jul,24,11,14522
2010,Jul,24,12,15315
2010,Jul,24,13,16048
2010,Jul,24,14,16668
2010,Jul,24,15,17101
2010,Jul,24,16,17195
2010,Jul,24,17,16807
2010,Jul,24,18,15963
2010,Jul,24,19,15144
2010,Jul,24,20,15158
2010,Jul,24,21,14573
2010,Jul,24,22,13421
2010,Jul,24,23,12392
