year,month,day,hour,load_forecast_mw
2010,Dec,11,0,18440
2010,Dec,11,1,18016
2010,Dec,11,2,17927
2010,Dec,11,3,17965
2010,Dec,11,4,18183
2010,Dec,11,5,18793
2010,Dec,11,6,20035
2010,Dec,11,7,21905
2010,Dec,11,8,23773
2010,Dec,11,9,24551
2010,Dec,11,10,24176
2010,Dec,11,11,23225
2010,Dec,11,12,22194
2010,Dec,11,13,21338
2010,Dec,11,14,20864
2010,Dec,11,15,20982
2010,Dec,11,16,22314
2010,Dec,11,17,24344
2010,Dec,11,18,24622
2010,Dec,11,19,23811
2010,Dec,11,20,22852
2010,Dec,11,21,21526
2010,Dec,11,22,19980
2010,Dec,11,23,19621
2010,Dec,12,0,19071
2010,Dec,12,1,18801
2010,Dec,12,2,18710
2010,Dec,12,3,18754
2010,Dec,12,4,18978
2010,Dec,12,5,19526
2010,Dec,12,6,20539
2010,Dec,12,7,22097
2010,Dec,12,8,23607
2010,Dec,12,9,24269
2010,Dec,12,10,23986
2010,Dec,12,11,23358
2010,Dec,12,12,22741
2010,Dec,12,13,22174
2010,Dec,12,14,21781
2010,Dec,12,15,21888
2010,Dec,12,16,23173
2010,Dec,12,17,25264
2010,Dec,12,18,25843
2010,Dec,12,19,25404
2010,Dec,12,20,24480
2010,Dec,12,21,23347
2010,Dec,12,22,21628
2010,Dec,12,23,20339
2010,Dec,13,0,19703
2010,Dec,13,1,19505
2010,Dec,13,2,19459
2010,Dec,13,3,19653
2010,Dec,13,4,20421
2010,Dec,13,5,22699
2010,Dec,13,6,27114
2010,Dec,13,7,30070
2010,Dec,13,8,29505
2010,Dec,13,9,28423
2010,Dec,13,10,27364
2010,Dec,13,11,26277
2010,Dec,13,12,25460
2010,Dec,13,13,24820
2010,Dec,13,14,24386
2010,Dec,13,15,24588
2010,Dec,13,16,26317
2010,Dec,13,17,29080
2010,Dec,13,18,29795
2010,Dec,13,19,28890
2010,Dec,13,20,27467
2010,Dec,13,21,25213
2010,Dec,13,22,22614
2010,Dec,13,23,20721
2010,Dec,14,0,19710
2010,Dec,14,1,19389
2010,Dec,14,2,19339
2010,Dec,14,3,19537
2010,Dec,14,4,20315
2010,Dec,14,5,22650
2010,Dec,14,6,27215
2010,Dec,14,7,30282
2010,Dec,14,8,29696
2010,Dec,14,9,28570
2010,Dec,14,10,27480
2010,Dec,14,11,26355
2010,Dec,14,12,25513
2010,Dec,14,13,24848
2010,Dec,14,14,24402
2010,Dec,14,15,24610
2010,Dec,14,16,26404
2010,Dec,14,17,29276
2010,Dec,14,18,30017
2010,Dec,14,19,29092
2010,Dec,14,20,27634
2010,Dec,14,21,25309
2010,Dec,14,22,22634
2010,Dec,14,23,20695
2010,Dec,15,0,19665
2010,Dec,15,1,19333
2010,Dec,15,2,19287
2010,Dec,15,3,19475
2010,Dec,15,4,20224
2010,Dec,15,5,22448
2010,Dec,15,6,26777
2010,Dec,15,7,29680
2010,Dec,15,8,29129
2010,Dec,15,9,28069
2010,Dec,15,10,27036
2010,Dec,15,11,25971
2010,Dec,15,12,25171
2010,Dec,15,13,24543
2010,Dec,15,14,24115
2010,Dec,15,15,24318
2010,Dec,15,16,26021
2010,Dec,15,17,28743
2010,Dec,15,18,29443
2010,Dec,15,19,28564
2010,Dec,15,20,27187
2010,Dec,15,21,24990
2010,Dec,15,22,22461
2010,Dec,15,23,20623
2010,Dec,16,0,19643
2010,Dec,16,1,19329
2010,Dec,16,2,19284
2010,Dec,16,3,19468
2010,Dec,16,4,20185
2010,Dec,16,5,22300
2010,Dec,16,6,26379
2010,Dec,16,7,29109
2010,Dec,16,8,28585
2010,Dec,16,9,27577
2010,Dec,16,10,26599
2010,Dec,16,11,25598
2010,Dec,16,12,24849
2010,Dec,16,13,24252
2010,Dec,16,14,23857
2010,Dec,16,15,24053
2010,Dec,16,16,25658
2010,Dec,16,17,28221
2010,Dec,16,18,28889
2010,Dec,16,19,27975
2010,Dec,16,20,26601
2010,Dec,16,21,24427
2010,Dec,16,22,21938
2010,Dec,16,23,20153
2010,Dec,17,0,19221
2010,Dec,17,1,18925
2010,Dec,17,2,18883
2010,Dec,17,3,19049
2010,Dec,17,4,19708
2010,Dec,17,5,21692
2010,Dec,17,6,25623
2010,Dec,17,7,28292
2010,Dec,17,8,27779
2010,Dec,17,9,26802
2010,Dec,17,10,25850
2010,Dec,17,11,24880
2010,Dec,17,12,24152
2010,Dec,17,13,23579
2010,Dec,17,14,23196
2010,Dec,17,15,23380
2010,Dec,17,16,24934
2010,Dec,17,17,27434
2010,Dec,17,18,28083
2010,Dec,17,19,27139
2010,Dec,17,20,25741
2010,Dec,17,21,23556
2010,Dec,17,22,21103
2010,Dec,17,23,19413
