,performance_score,hourly_integrated_MW,mileage_ratio,Regulation_Market_Clearing_Price(RMCP),Reg_Clearing_Price_Credit
2017-01-01 00:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.05101649438727462,1.217176527511916,"(11.99, 5.82, 6.17)","(0.6800488077510454, 0.29691599733393825, 0.3831328104171072)"
2017-01-01 01:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.06614778420238722,2.019002662374449,"(12.99, 10.08, 2.91)","(1.0554075922871027, 0.666769664760063, 0.38863792752703974)"
2017-01-01 02:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.03380781044965781,1.598068850316079,"(11.0, 6.29, 4.71)","(0.46711928106796374, 0.2126511277283476, 0.25446815333961614)"
2017-01-01 03:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.037607196645435284,1.427293344103641,"(10.43, 6.27, 4.16)","(0.4590913690505736, 0.23579712296687916, 0.22329424608369444)"
2017-01-01 04:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.03279468547289523,1.5892315460396926,"(9.6, 4.87, 4.73)","(0.40622990758496014, 0.15971011825299972, 0.24651978933196045)"
2017-01-01 05:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.03820100481757011,1.8861206337267602,"(10.4, 6.4, 4.0)","(0.5326932444945061, 0.2444864308324487, 0.2882068136620574)"
2017-01-01 06:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.04830896980403413,1.7130670819577853,"(12.54, 7.46, 5.08)","(0.7807879648857787, 0.3603849147380946, 0.4204030501476842)"
2017-01-01 07:00:00,"(1.0, 1.0, 1.0, 0.9999999999999999)",0.04255456354389866,1.823936691361945,"(13.04, 9.189999999999998, 3.85)","(0.6899012338239777, 0.3910764389684286, 0.29882479485554914)"
2017-01-01 08:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.03365595707484887,1.9490363884068533,"(8.519999999999998, 4.54, 3.98)","(0.41387285152146114, 0.15279804511981385, 0.26107480640164726)"
2017-01-01 09:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.05260925328608994,3.5217300269593337,"(10.4, 8.4, 2.0)","(0.8124689015902193, 0.44191772760315545, 0.37055117398706383)"
2017-01-01 10:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.045728945512082335,2.488911857494747,"(8.68, 6.33, 2.35)","(0.5569302146735005, 0.2894642250914811, 0.26746598958201934)"
2017-01-01 11:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.04302557011879642,1.6962369434552724,"(9.439999999999998, 6.53, 2.91)","(0.49333331698253835, 0.2809569728757406, 0.2123763441067977)"
