Preliminary Synchronized Reserve Summary 
Month:,"January, 2017" ,Report Creation Timestamp (EPT):, 08/02/2017 12:15:40 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
01/01/2017 01,01/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),2.82,67114.042010,175.125371010,1009.177372,4.25,.00,295.342005220,652.522296088,.00,.000,15.317,.000,.000,.000,.00,295.342005220
01/01/2017 02,01/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),4.33,65073.736032,387.987401802,810.742810,337.43,751.75,651.042087585,544.018028307,.00,.000,62.135,89.090,.000,.000,.00,651.042016020
01/01/2017 03,01/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63589.754979,506.598601368,996.997118,1467.73,1789.27,839.599998979,658.071885572,.00,.000,187.000,.000,.000,.000,.00,839.599998979
01/01/2017 04,01/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62760.775040,469.337257774,1089.605826,2443.29,.00,782.600021985,734.547545993,.00,.000,216.000,.000,.000,.000,.00,782.600021985
01/01/2017 05,01/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62848.889025,274.897704614,1234.926150,815.36,.00,459.700040086,823.351899198,.00,.000,187.100,.000,.000,.000,.00,459.700011614
01/01/2017 06,01/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63620.851052,273.427988479,1216.382799,827.84,.00,460.399995840,817.817561121,.00,.000,187.100,.000,.000,.000,.00,460.399995840
01/01/2017 07,01/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.04,65213.064067,275.006622070,1181.857998,800.34,.00,460.700074370,783.631005920,.00,.000,187.100,.000,.000,.000,.00,460.700022749
01/01/2017 08,01/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),1.29,66796.699028,303.388967172,1007.555069,443.41,.00,506.733185922,672.084041117,.00,.000,233.100,.000,.000,.000,.00,506.732997529
01/01/2017 09,01/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.35,67666.212928,287.251303769,1067.154229,740.12,.00,476.808006424,699.349154414,.00,.000,233.100,.000,.000,.000,.00,476.807982418
01/01/2017 10,01/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.93,68105.128018,276.118309061,1193.323727,489.36,.00,476.825233071,858.802644603,.00,.000,233.100,.000,.000,.000,.00,476.824992303
01/01/2017 11,01/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67629.568018,279.298947381,1210.855978,885.30,.00,476.900015223,850.288056540,.00,.000,233.100,.000,.000,.000,.00,476.900015223
01/01/2017 12,01/01/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67066.802916,164.758735449,1616.919228,226.44,.00,273.900169616,1049.004518319,.00,.000,30.100,.000,.000,.000,.00,273.900022076
01/01/2017 13,01/01/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66605.860984,217.506764612,1500.649349,472.72,.00,361.200007051,984.308910219,.00,.000,88.100,.000,.000,.000,.00,361.200007051
01/01/2017 14,01/01/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65694.248984,161.458646809,1569.036775,226.58,.00,273.199979480,1059.249290083,.00,.000,30.100,.000,.000,.000,.00,273.199979480
01/01/2017 15,01/01/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65002.489030,129.502318198,1639.900000,155.84,.00,221.200114967,1100.985442304,.00,.000,30.100,.000,.000,.000,.00,221.200022875
01/01/2017 16,01/01/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65156.888031,153.200620159,1541.828964,270.52,.00,267.199984343,1048.687356104,.00,.000,30.100,.000,.000,.000,.00,267.199984343
01/01/2017 17,01/01/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67636.440052,158.088606774,1409.356433,238.02,.00,282.608010166,960.826015958,.00,.000,30.100,.000,.000,.000,.00,282.608010166
01/01/2017 18,01/01/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),1.20,73705.310997,288.811297716,786.324866,564.02,.00,523.782993714,566.950690330,.00,.000,233.100,.000,.000,.000,.00,523.782993714
01/01/2017 19,01/02/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75833.552969,755.529597956,641.514233,9780.80,.00,1325.966051104,493.717766998,.00,.000,343.500,.000,.000,.000,.00,1325.965996617
01/01/2017 20,01/02/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75703.430066,754.870691268,627.872365,9650.41,.00,1322.667019720,480.166073394,.00,.000,343.500,.000,.000,.000,.00,1322.667019720
01/01/2017 21,01/02/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75090.607012,568.142389183,735.212660,4427.50,1353.42,1007.000001462,545.089201110,.00,.000,263.100,110.400,.000,.000,.00,1007.000001462
01/01/2017 22,01/02/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73470.488999,530.460675678,810.454136,4826.75,.00,919.400016784,544.548677006,.00,.000,263.000,.000,.000,.000,.00,919.400016784
01/01/2017 23,01/02/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70785.212995,366.284404536,960.215743,2165.85,.00,632.300157670,628.826740914,.00,.000,233.000,.000,.000,.000,.00,632.299994490
01/01/2017 24,01/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67442.949959,298.114931355,1131.463873,955.60,.00,509.299997981,728.030025899,.00,.000,236.000,.000,.000,.000,.00,509.299997981
01/02/2017 01,01/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.07,64440.966994,246.321151426,1016.924841,637.37,.00,434.009110120,709.229409313,.00,.000,149.917,.000,.000,.000,.00,434.008989811
01/02/2017 02,01/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62482.919858,250.120612286,999.095782,663.90,.00,431.799986864,669.031591753,.00,.000,148.000,.000,.000,.000,.00,431.799962525
01/02/2017 03,01/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61559.038050,309.423702501,1153.715709,966.30,.00,529.500010797,762.480662128,.00,.000,148.000,.000,.000,.000,.00,529.500010797
01/02/2017 04,01/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61343.188052,179.721905806,1317.453018,328.61,.00,313.800045853,886.988681833,.00,.000,30.000,.000,.000,.000,.00,313.800017634
01/02/2017 05,01/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.61,62040.595044,143.730254374,1026.393185,63.83,.00,257.000036642,711.429198254,.00,.000,30.100,.000,.000,.000,.00,257.000013909
01/02/2017 06,01/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),2.29,64075.370047,281.842617756,900.064902,85.73,94.96,488.779003377,595.035794470,.00,.000,84.775,95.046,.000,.000,.00,488.779003377
