Preliminary Synchronized Reserve Summary 
Month:,"February, 2017" ,Report Creation Timestamp (EPT):, 07/03/2017 11:21:56 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
02/01/2017 01,02/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71894.430025,2.381721771,2286.401718,.00,.00,4.200110988,1557.971318189,.00,.000,.000,.000,.000,.000,.00,4.200003804
02/01/2017 02,02/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70162.946032,2.378248604,2145.808692,.00,.00,4.200005308,1461.657368122,.00,.000,.000,.000,.000,.000,.00,4.200005308
02/01/2017 03,02/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69074.567929,.000188238,2153.075379,.00,.00,.000349155,1474.430931576,.00,.000,.000,.000,.000,.000,.00,.000346737
02/01/2017 04,02/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69094.727026,2.358359074,2233.076998,.00,.00,4.200122408,1516.175366118,.00,.000,.000,.000,.000,.000,.00,4.199979936
02/01/2017 05,02/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70501.156996,3.822156648,2262.428714,.00,.00,6.800065511,1522.939814679,.00,.000,.000,.000,.000,.000,.00,6.800030224
02/01/2017 06,02/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74948.815041,9.404223068,1975.627977,103.23,.00,16.799214735,1308.851009570,.00,.000,.000,.000,.000,.000,.00,16.799041306
02/01/2017 07,02/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.58,82048.737968,67.346323819,1370.892623,157.89,274.34,122.427001463,932.326778926,.00,.000,15.525,85.977,.000,.000,.00,122.427001463
02/01/2017 08,02/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,86384.640986,313.273790927,808.170080,365.81,928.95,556.133052833,589.877985156,.00,.000,11.900,265.000,.000,.000,.00,556.133036248
02/01/2017 09,02/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,86164.628005,473.065676801,839.400000,2123.84,.00,822.334077352,600.583289093,.00,.000,306.900,.000,.000,.000,.00,822.333995498
02/01/2017 10,02/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,85258.011022,496.751524160,918.100000,2837.54,.00,829.408004671,634.871219201,.00,.000,306.900,.000,.000,.000,.00,829.407982375
02/01/2017 11,02/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,84395.988044,376.491151322,969.700000,1557.60,.00,627.000010959,628.270272474,.00,.000,277.900,.000,.000,.000,.00,627.000010959
02/01/2017 12,02/01/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,83706.796062,399.206762442,1138.200000,1729.25,.00,663.632995368,726.781357682,.00,.000,276.300,.000,.000,.000,.00,663.632995368
02/01/2017 13,02/01/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,82905.591008,313.786080273,1546.086549,1205.92,.00,519.024980872,1007.415041779,.00,.000,188.900,.000,.000,.000,.00,519.024980872
02/01/2017 14,02/01/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,82257.585998,306.606254065,1700.610578,1102.08,.00,510.542048466,1062.791827438,.00,.000,188.900,.000,.000,.000,.00,510.542048466
02/01/2017 15,02/01/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,81574.379987,112.548296398,1805.482603,366.41,.00,186.634045427,1124.700896063,.00,.000,10.100,.000,.000,.000,.00,186.633996562
02/01/2017 16,02/01/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,81152.500943,9.352876002,1947.827318,47.17,.00,15.417049388,1226.982235679,.00,.000,.000,.000,.000,.000,.00,15.416996397
02/01/2017 17,02/01/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,81910.832001,9.760747305,1707.500000,60.85,.00,16.366075994,1083.261360111,.00,.000,.000,.000,.000,.000,.00,16.366010828
02/01/2017 18,02/01/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),1.25,85168.053931,72.035371952,1330.394767,295.19,.00,126.242054810,847.445988418,.00,.000,26.408,.000,.000,.000,.00,126.242034726
02/01/2017 19,02/02/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,87935.738022,406.352453220,1057.814724,1850.84,.00,705.391139495,717.957422162,.00,.000,293.208,.000,.000,.000,.00,705.391055264
02/01/2017 20,02/02/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.04,87579.645973,381.821321944,906.200000,1360.29,.00,653.392038272,607.654243552,.00,.000,247.900,.000,.000,.000,.00,653.391982590
02/01/2017 21,02/02/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,86286.280998,357.939173242,971.702259,1586.30,.00,615.317032132,671.251659632,.00,.000,308.400,.000,.000,.000,.00,615.316972876
02/01/2017 22,02/02/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,83357.923965,333.122041599,1377.844406,1312.90,.00,569.899986373,950.143117183,.00,.000,247.800,.000,.000,.000,.00,569.899986373
02/01/2017 23,02/02/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78859.493973,187.090294573,1838.562031,527.63,.00,319.800000000,1325.721927341,.00,.000,10.000,.000,.000,.000,.00,319.800000000
02/01/2017 24,02/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74704.257898,2.335305867,2286.741436,.00,.00,4.100209750,1631.786091068,.00,.000,.000,.000,.000,.000,.00,4.100034203
