Preliminary Synchronized Reserve Summary 
Month:,"March, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:13:56 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
03/01/2017 01,03/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,60688.521013,19.902564332,1684.171463,138.73,.00,33.917062369,1202.404994937,.00,.000,.000,.000,.000,.000,.00,33.916998606
03/01/2017 02,03/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58430.781989,29.454268359,1669.808018,220.92,.00,49.991076259,1187.230310731,.00,.000,.000,.000,.000,.000,.00,49.990945482
03/01/2017 03,03/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57422.171008,32.920119319,1872.829416,238.25,.00,55.699990746,1324.260417194,.00,.000,.000,.000,.000,.000,.00,55.699990746
03/01/2017 04,03/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57071.211959,31.912643580,2123.091418,195.35,.00,54.100016361,1494.283726136,.00,.000,.000,.000,.000,.000,.00,54.099975236
03/01/2017 05,03/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58163.624993,32.313742038,1987.350524,203.40,.00,54.999975135,1391.663526302,.00,.000,.000,.000,.000,.000,.00,54.999975135
03/01/2017 06,03/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62152.886938,31.895968031,1343.125641,215.97,.00,55.767024635,947.775577265,.00,.000,.000,.000,.000,.000,.00,55.767024635
03/01/2017 07,03/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),2.10,69060.902986,104.145548579,1252.066081,178.78,330.26,175.201108304,848.998798482,.00,.000,8.217,45.432,.000,.000,.00,175.201063238
03/01/2017 08,03/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),4.47,72856.714011,416.873713202,821.084466,232.51,1256.16,683.503005722,546.789772765,.00,.000,34.843,174.000,.000,.000,.00,683.502985273
03/01/2017 09,03/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73794.446103,519.306100403,785.859978,4194.56,.00,865.716980894,569.378220639,.00,.000,199.900,.000,.000,.000,.00,865.716980894
03/01/2017 10,03/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),1.13,74409.297042,583.549846229,534.836810,3650.15,.00,953.458030537,372.454665032,.00,.000,199.900,.000,.000,.000,.00,953.458010324
