Preliminary Synchronized Reserve Summary 
Month:,"April, 2017" ,Report Creation Timestamp (EPT):, 09/05/2017 12:48:14 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
04/01/2017 01,04/01/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),10.98,63407.929974,515.433480264,475.042628,169.30,.00,844.827002499,316.284429837,.00,.000,196.409,.000,.000,.000,.00,844.827002499
04/01/2017 02,04/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),9.71,61220.076037,539.787709870,509.221933,624.26,.00,880.406983138,330.925776440,.00,.000,386.667,.000,.000,.000,.00,880.406983138
04/01/2017 03,04/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),5.70,60122.071965,461.168811893,559.872466,935.42,.00,749.699996357,354.988755557,.00,.000,127.341,.000,.000,.000,.00,749.699996357
04/01/2017 04,04/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),9.74,59414.190978,569.031185981,404.698228,88.86,.00,924.243007309,257.637219919,.00,.000,266.985,.000,.000,.000,.00,924.243007309
04/01/2017 05,04/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),9.87,59795.362975,614.919343943,342.897137,31.68,.00,1008.775081394,217.522810505,.00,.000,283.459,.000,.000,.000,.00,1008.774991134
04/01/2017 06,04/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),8.40,61383.391964,561.026338723,391.584554,81.88,.00,925.843003170,270.556876879,.00,.000,299.018,.000,.000,.000,.00,925.843001799
04/01/2017 07,04/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),28.13,64271.460961,639.149545155,270.689714,420.20,.00,1074.216014428,190.568407653,.00,.000,354.250,.000,.000,.000,.00,1074.216014428
04/01/2017 08,04/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),17.92,66910.843995,647.443179820,285.602227,501.61,.00,1088.973984824,199.600925594,.00,.000,395.357,.000,.000,.000,.00,1088.973984824
04/01/2017 09,04/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69225.301015,750.854701590,251.242485,12220.82,.00,1272.416044877,184.816099733,.00,.000,576.583,.000,.000,.000,.00,1272.416044877
04/01/2017 10,04/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),8.22,70907.129902,778.814150669,201.575682,22495.68,.00,1295.733976601,136.283442118,4400.93,.000,574.434,.000,.000,.000,.00,1295.733976601
04/01/2017 11,04/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71311.718980,772.361369408,336.205187,10243.52,.00,1279.100003127,216.806221313,.00,.000,557.700,.000,.000,.000,.00,1279.100003127
04/01/2017 12,04/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70746.960956,775.615128028,183.258109,19712.34,.00,1279.100070248,119.765156803,.00,.000,557.700,.000,.000,.000,.00,1279.100008466
