Preliminary Synchronized Reserve Summary 
Month:,"May, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:20:00 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
05/01/2017 01,05/01/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59227.740955,221.228651493,1810.068334,389.45,.00,364.400079140,1308.455196318,.00,.000,78.000,.000,.000,.000,.00,364.400040502
05/01/2017 02,05/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56841.333024,14.082474910,2071.324500,.00,.00,22.900050624,1443.245450418,.00,.000,.000,.000,.000,.000,.00,22.899970390
05/01/2017 03,05/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55380.521946,13.555992011,2525.138851,.00,.00,21.999950779,1754.773748093,.00,.000,.000,.000,.000,.000,.00,21.999950779
05/01/2017 04,05/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55075.601006,.060922990,2542.478005,.00,.00,.100015860,1794.701049443,.00,.000,.000,.000,.000,.000,.00,.100015860
05/01/2017 05,05/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55973.632007,.060588145,2012.557138,.00,.00,.100037784,1408.755820087,.00,.000,.000,.000,.000,.000,.00,.100037784
05/01/2017 06,05/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59441.756998,13.637419747,1578.932978,.00,.00,22.000014982,1032.071811493,.00,.000,.000,.000,.000,.000,.00,22.000014982
05/01/2017 07,05/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),10.39,65864.053033,166.512236198,915.297883,638.49,.00,275.025018126,622.391006320,.00,.000,15.375,.000,.000,.000,.00,275.025018126
05/01/2017 08,05/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),19.80,70308.703039,292.700355193,754.492840,184.53,.00,489.943111422,530.972697532,.00,.000,158.925,.000,.000,.000,.00,489.942997297
05/01/2017 09,05/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,44584.691137,117.600000905,730.253549,185.92,.00,117.600021127,801.600000014,.00,.000,117.600,.000,.000,.000,.00,117.600000905
05/01/2017 10,05/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.58,73993.097063,229.093631086,1144.775904,308.27,.00,379.000095950,760.645822755,.00,.000,80.600,.000,.000,.000,.00,379.000008799
05/01/2017 11,05/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),2.35,75193.091043,106.756351953,1134.809753,257.14,907.06,175.245980607,732.481409335,.00,.000,101.508,.000,.000,.000,.00,175.245980607
05/01/2017 12,05/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,76017.416050,455.175978312,972.503242,517.65,3710.85,737.500092972,609.654922982,.00,.000,32.600,.000,.000,.000,.00,737.500047675
05/01/2017 13,05/01/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,76796.503062,482.515158719,1041.358061,4399.11,.00,793.633024637,673.051337683,.00,.000,87.600,.000,.000,.000,.00,793.633024637
05/01/2017 14,05/01/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,77334.135023,456.366527369,938.989908,3314.59,773.55,749.704997927,584.518721723,.00,.000,87.600,.000,.000,.000,.00,749.704997927
05/01/2017 15,05/01/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,77381.104001,249.220666238,1115.999570,718.42,.00,418.475025090,700.557190921,.00,.000,96.175,.000,.000,.000,.00,418.475025090
