Preliminary Synchronized Reserve Summary 
Month:,"June, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:24:12 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
06/01/2017 01,06/01/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62041.516007,12.539409724,1965.439551,.00,.00,21.700064128,1384.603609962,.00,.000,.000,.000,.000,.000,.00,21.700025557
06/01/2017 02,06/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58633.865002,12.542389503,2027.263852,.00,.00,21.700019720,1433.635410081,.00,.000,.000,.000,.000,.000,.00,21.700012688
06/01/2017 03,06/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56649.288008,12.607579707,2105.183692,.00,.00,21.699940796,1484.900152244,.00,.000,.000,.000,.000,.000,.00,21.699938374
06/01/2017 04,06/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55585.043053,12.582534859,1894.903497,.00,.00,21.699919129,1338.968807850,.00,.000,.000,.000,.000,.000,.00,21.699912570
06/01/2017 05,06/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56054.635946,12.524063598,1984.692415,.00,.00,21.700012243,1393.022052480,.00,.000,.000,.000,.000,.000,.00,21.700009958
06/01/2017 06,06/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58709.743018,10.501367966,1905.150899,.00,.00,18.200039768,1316.788399059,.00,.000,.000,.000,.000,.000,.00,18.200035429
06/01/2017 07,06/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63201.209995,12.045678943,1847.175924,.00,.00,21.200017226,1243.818358736,.00,.000,.000,.000,.000,.000,.00,21.200015136
06/01/2017 08,06/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68288.855982,12.643495667,1652.400741,.00,.00,22.299999194,1110.061659995,.00,.000,.000,.000,.000,.000,.00,22.299995447
06/01/2017 09,06/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71883.986009,12.726991049,1247.611325,.00,.00,22.599988372,860.344711895,.00,.000,.000,.000,.000,.000,.00,22.599986924
06/01/2017 10,06/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.33,74454.714028,127.665709148,1117.593237,374.26,.00,223.950018799,786.544822889,.00,.000,86.800,.000,.000,.000,.00,223.949997633
06/01/2017 11,06/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,76956.518938,136.058672824,1080.619336,259.83,.00,230.699979939,719.927917563,.00,.000,12.100,.000,.000,.000,.00,230.699979939
06/01/2017 12,06/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),5.27,79004.404025,296.570149598,847.270337,884.60,.00,500.065012046,550.614491711,.00,.000,188.590,.000,.000,.000,.00,500.065010651
06/01/2017 13,06/01/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.30,80248.725030,255.204845276,866.730394,984.51,.00,445.940982947,608.785482043,.00,.000,136.433,.000,.000,.000,.00,445.940980096
06/01/2017 14,06/01/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,81762.498960,312.457043838,870.936336,845.05,.00,541.298957338,633.176103048,.00,.000,119.100,.000,.000,.000,.00,550.300015203
06/01/2017 15,06/01/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.29,82940.074020,305.682421485,821.164895,1322.73,.00,525.374980843,597.306511392,.00,.000,130.733,.000,.000,.000,.00,525.374979354
06/01/2017 16,06/01/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),6.28,84129.903858,490.800149252,543.694386,1108.37,547.32,833.861986735,405.788389278,.00,.000,193.909,.000,.000,.000,.00,833.861985248
06/01/2017 17,06/01/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.29,85247.305990,651.399154458,435.900000,2452.84,7038.81,1112.153954174,320.310779362,.00,.000,156.308,237.696,.000,.000,.00,1112.153950938
06/01/2017 18,06/01/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,51276.960364,418.992013958,238.900000,1191.67,6711.48,418.992013958,304.100001235,.00,.000,118.992,300.000,.000,.000,.00,418.992013958
06/01/2017 19,06/01/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.34,50691.789558,446.990001000,247.200000,4336.25,2863.83,446.990001000,293.800001982,118.01,.000,296.990,150.000,.000,.000,.00,446.990001000
06/01/2017 20,06/02/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.58,82354.548948,640.971498134,440.236250,6723.62,.00,1085.400013718,329.540610626,.00,.000,368.900,.000,.000,.000,.00,1085.400013718
06/01/2017 21,06/02/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80446.718925,497.759782103,809.463977,4716.99,.00,853.483045258,584.036102549,.00,.000,172.983,.000,.000,.000,.00,853.483041648
06/01/2017 22,06/02/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,79034.877036,536.937106373,698.595872,4859.59,.00,903.200016355,451.707532743,.00,.000,186.800,.000,.000,.000,.00,903.199995059
06/01/2017 23,06/02/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73545.400042,457.158093959,1468.067577,3666.72,.00,772.800010397,1047.183821608,.00,.000,117.000,.000,.000,.000,.00,772.800005481
06/01/2017 24,06/02/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67173.722935,128.065438674,1611.352373,242.40,.00,218.100059333,1139.468801265,.00,.000,10.000,.000,.000,.000,.00,218.100028524
06/02/2017 01,06/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61702.067941,14.087475244,2273.936317,.00,.00,24.199995608,1612.453570494,.00,.000,.000,.000,.000,.000,.00,24.199990359
06/02/2017 02,06/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58380.760966,14.155437709,2628.911081,.00,.00,24.199986896,1867.067370049,.00,.000,.000,.000,.000,.000,.00,24.199983872
06/02/2017 03,06/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56423.014005,14.158803896,2694.825731,.00,.00,24.200073921,1921.520663558,.00,.000,.000,.000,.000,.000,.00,24.200073921
06/02/2017 04,06/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55311.043139,14.266455420,3014.605365,.00,.00,24.200012580,2121.463748581,.00,.000,.000,.000,.000,.000,.00,24.200002295
06/02/2017 05,06/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55645.262004,13.451526930,2283.542421,.00,.00,23.300009636,1605.587873259,.00,.000,.000,.000,.000,.000,.00,23.300004429
06/02/2017 06,06/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58256.974982,12.075388938,1959.500260,.00,.00,20.699962787,1372.204925010,.00,.000,.000,.000,.000,.000,.00,20.699956073
06/02/2017 07,06/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62444.558980,13.723263530,1857.856909,.00,.00,23.699979844,1260.578519514,.00,.000,.000,.000,.000,.000,.00,23.699975657
06/02/2017 08,06/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67573.054006,13.861113567,1674.606649,.00,.00,23.700081684,1114.472275343,.00,.000,.000,.000,.000,.000,.00,23.700050092
06/02/2017 09,06/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71289.271969,14.919152912,1459.584205,.00,.00,25.100032162,963.854805458,.00,.000,.000,.000,.000,.000,.00,25.100028957
06/02/2017 10,06/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),1.15,74079.584055,18.785244396,1226.552901,10.62,.00,32.400019596,832.591449184,.00,.000,.000,.000,.000,.000,.00,32.400018208
06/02/2017 11,06/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),1.58,76533.185988,189.911686033,913.530213,231.27,.00,316.199985030,606.941708846,.00,.000,179.100,.000,.000,.000,.00,316.199982442
06/02/2017 12,06/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),1.30,78349.513042,220.792570324,1190.072398,219.24,.00,372.932996984,848.109603996,.00,.000,180.900,.000,.000,.000,.00,372.932996984
06/02/2017 13,06/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),1.99,80024.117036,318.530708151,1158.425732,353.81,.00,531.216993085,825.475857679,.00,.000,179.100,.000,.000,.000,.00,531.216991239
06/02/2017 14,06/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),5.66,81551.125037,341.060703229,734.732350,1002.01,467.88,572.594978962,524.803925346,.00,.000,216.015,.000,.000,.000,.00,572.594977564
06/02/2017 15,06/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),1.68,82724.389990,568.568107164,721.350000,772.03,2637.38,943.042003474,537.958103487,1843.95,.000,200.100,.000,.000,.000,.00,943.041980312
06/02/2017 16,06/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.30,51994.978882,177.683998347,423.140000,573.19,.00,177.683998347,485.200007627,180.03,.000,177.684,.000,.000,.000,.00,177.683998347
06/02/2017 17,06/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),1.68,84700.730098,591.562402456,852.244739,2002.21,1635.43,969.760998889,621.138507886,2296.03,.000,199.411,.000,.000,.000,.00,969.760998889
06/02/2017 18,06/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),1.05,84941.071991,562.782043046,653.765073,6025.11,.00,911.584017426,460.545349240,.00,.000,231.992,.000,.000,.000,.00,911.584015780
06/02/2017 19,06/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),7.34,83588.946992,552.163771869,360.284589,934.84,582.94,896.124007035,281.045948949,.00,.000,192.890,.000,.000,.000,.00,896.124007035
06/02/2017 20,06/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),4.15,81183.510034,519.784796814,587.840590,997.02,1422.59,837.839004590,419.198222533,.00,.000,266.600,.000,.000,.000,.00,837.839003087
06/02/2017 21,06/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),1.65,78610.338050,268.745415541,853.396138,213.37,.00,443.551006115,608.049536107,.00,.000,187.642,.000,.000,.000,.00,443.551003296
06/02/2017 22,06/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),4.23,76945.946988,285.722353914,739.379664,164.05,.00,486.449015134,556.904889209,.00,.000,233.242,.000,.000,.000,.00,486.448996198
06/02/2017 23,06/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72452.282011,267.493646916,1107.214359,629.50,.00,433.007996669,769.570699618,.00,.000,184.616,.000,.000,.000,.00,433.007996669
06/02/2017 24,06/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66305.046000,270.508629107,1741.754786,618.61,.00,443.000022280,1231.706575341,.00,.000,195.000,.000,.000,.000,.00,443.000017506
