Preliminary Synchronized Reserve Summary 
Month:,"July, 2017" ,Report Creation Timestamp (EPT):, 12/07/2017 09:59:17 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
07/01/2017 01,07/01/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,77477.598998,9.396457552,2072.304885,.00,.00,17.199997109,1348.046984798,.00,.000,.000,.000,.000,.000,.00,17.199994757
07/01/2017 02,07/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72632.838028,9.081750300,2086.099857,.00,.00,16.599957286,1357.334927295,.00,.000,.000,.000,.000,.000,.00,16.599954922
07/01/2017 03,07/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69255.207990,9.246666318,2666.723365,.00,.00,17.200019149,1774.894189402,.00,.000,.000,.000,.000,.000,.00,17.200016066
07/01/2017 04,07/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66898.420018,9.186023805,2586.666336,.00,.00,17.199969688,1722.789447789,.00,.000,.000,.000,.000,.000,.00,17.199969688
07/01/2017 05,07/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65757.912940,9.162275111,2740.919917,.00,.00,17.200047538,1826.262752210,.00,.000,.000,.000,.000,.000,.00,17.200037992
07/01/2017 06,07/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65899.313962,7.331115554,2778.748548,.00,.00,13.700032825,1844.413412455,.00,.000,.000,.000,.000,.000,.00,13.700029618
07/01/2017 07,07/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66486.861055,5.764599297,2519.588077,.00,.00,10.700010212,1640.192565159,.00,.000,.000,.000,.000,.000,.00,10.699961532
07/01/2017 08,07/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69733.731958,5.789964066,2314.894993,.00,.00,10.700068555,1481.078820426,.00,.000,.000,.000,.000,.000,.00,10.700060752
07/01/2017 09,07/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74895.380926,5.947879401,2010.132614,.00,.00,10.700023378,1233.545989000,.00,.000,.000,.000,.000,.000,.00,10.700019024
07/01/2017 10,07/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80468.243047,5.956092520,1753.026406,.00,.00,10.700021945,1068.961453161,.00,.000,.000,.000,.000,.000,.00,10.700018160
07/01/2017 11,07/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),3.59,85794.892899,17.317853809,1317.460282,153.39,.00,31.951001077,833.800067196,.00,.000,6.042,.000,.000,.000,.00,31.950999579
07/01/2017 12,07/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),1.07,89805.994028,288.656347173,971.998079,332.41,564.70,504.629048035,583.437465885,.00,.000,85.382,72.582,.000,.000,.00,504.629046500
07/01/2017 13,07/01/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.71,92956.532026,476.222205332,740.538305,4892.36,.00,833.838898228,442.999251166,.00,.000,176.333,.000,.000,.000,.00,850.733019446
07/01/2017 14,07/01/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),1.13,95214.152020,603.426862602,754.311030,5155.11,.00,1060.100018573,473.928332362,.00,.000,173.700,.000,.000,.000,.00,1060.100014779
07/01/2017 15,07/01/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.73,97053.032045,594.726994381,705.910767,6127.57,.00,1038.123991757,435.384584238,.00,.000,195.724,.000,.000,.000,.00,1038.123989946
07/01/2017 16,07/01/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,98201.409968,602.127377508,893.823551,6008.77,.00,1058.899985524,571.403177146,.00,.000,173.700,.000,.000,.000,.00,1058.899983467
07/01/2017 17,07/01/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,98530.330030,405.058264915,847.522944,2863.52,.00,711.299991615,551.216553090,.00,.000,191.700,.000,.000,.000,.00,711.299991615
07/01/2017 18,07/01/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),14.95,98289.392977,592.378566703,452.113372,2461.38,.00,1022.350964902,277.253693373,.00,.000,227.184,.000,.000,.000,.00,1022.350963396
07/01/2017 19,07/01/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.50,96348.938093,667.312217993,763.074684,7553.80,8864.67,1154.402012033,456.927333887,.00,.000,191.700,208.002,.000,.000,.00,1154.401990767
07/01/2017 20,07/02/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),1.13,93061.391006,734.727619805,1235.403693,4078.35,4068.03,1269.199973847,748.659615544,.00,.000,173.700,300.000,.000,.000,.00,1269.199971309
07/01/2017 21,07/02/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.37,89181.126107,590.983752235,1163.205937,5476.69,.00,999.200018686,704.890952089,.00,.000,241.700,.000,.000,.000,.00,999.200014243
07/01/2017 22,07/02/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),1.38,86632.242906,355.447077635,1159.999622,1171.80,.00,604.400031301,700.460695003,.00,.000,173.600,.000,.000,.000,.00,604.400029484
07/01/2017 23,07/02/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,82530.509004,346.291878787,1552.932304,1760.08,.00,589.899995136,963.167686255,.00,.000,191.600,.000,.000,.000,.00,589.899992899
07/01/2017 24,07/02/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,76787.211018,38.965573052,1895.247942,1.34,.00,67.999999480,1208.699174680,.00,.000,48.400,.000,.000,.000,.00,67.999995229
07/02/2017 01,07/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71345.085003,9.234570106,2400.021058,.00,.00,16.700045151,1606.641613618,.00,.000,.000,.000,.000,.000,.00,16.700045151
07/02/2017 02,07/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66809.497007,9.234801543,2347.945631,.00,.00,16.699997687,1564.446480542,.00,.000,.000,.000,.000,.000,.00,16.699995008
07/02/2017 03,07/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63798.366984,9.177710753,2535.799255,.00,.00,16.699982936,1700.208486283,.00,.000,.000,.000,.000,.000,.00,16.699977114
07/02/2017 04,07/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61450.069992,9.102775662,3027.016874,.00,.00,16.699958537,2029.044581351,.00,.000,.000,.000,.000,.000,.00,16.699951570
07/02/2017 05,07/02/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,60381.765970,6.078772970,2995.837895,.00,.00,11.100024838,1993.507548731,.00,.000,.000,.000,.000,.000,.00,11.100018000
07/02/2017 06,07/02/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59822.236968,9.134455617,3051.379101,.00,.00,16.699963396,2051.067987048,.00,.000,.000,.000,.000,.000,.00,16.699956377
07/02/2017 07,07/02/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59564.599039,.107933180,3000.931050,.00,.00,.200078822,1997.440757139,.00,.000,.000,.000,.000,.000,.00,.200071945
07/02/2017 08,07/02/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63016.250967,.106208690,2461.791330,.00,.00,.200064883,1609.274864333,.00,.000,.000,.000,.000,.000,.00,.200064883
07/02/2017 09,07/02/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69284.818007,4.491693871,2235.915947,.00,.00,8.400049707,1429.312804092,.00,.000,.000,.000,.000,.000,.00,8.400044659
07/02/2017 10,07/02/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75731.098033,8.875390092,1937.791332,.00,.00,16.100037353,1187.176968085,.00,.000,.000,.000,.000,.000,.00,16.100033128
07/02/2017 11,07/02/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,81498.532012,7.625131416,1542.185641,.00,.00,13.699974468,933.270074710,.00,.000,.000,.000,.000,.000,.00,13.699972805
07/02/2017 12,07/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),4.85,86090.058974,125.704362964,1074.380600,516.82,.00,228.402007175,661.620402853,.00,.000,161.902,.000,.000,.000,.00,228.401989059
07/02/2017 13,07/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.79,89980.576987,281.180514749,991.750177,711.22,.00,501.499993537,618.553908302,.00,.000,173.700,.000,.000,.000,.00,501.499993537
07/02/2017 14,07/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),2.79,93069.113005,370.281525162,814.051121,503.72,.00,659.016963376,515.615629088,.00,.000,188.617,.000,.000,.000,.00,659.016961812
07/02/2017 15,07/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,95552.461029,528.413694874,973.886471,3639.74,.00,920.099986620,581.659383836,.00,.000,173.700,.000,.000,.000,.00,920.099984662
07/02/2017 16,07/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,98375.795007,566.170941587,854.807520,9061.30,.00,982.899981659,512.145911871,.00,.000,173.700,.000,.000,.000,.00,982.899979761
07/02/2017 17,07/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,100905.132980,729.045239601,590.600000,23162.68,.00,1263.017018744,342.109189540,.00,.000,341.700,.000,.000,.000,.00,1263.017016862
07/02/2017 18,07/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,102091.739962,718.657669174,389.623527,26903.03,7154.92,1272.305986623,235.953986758,.00,.000,323.700,105.918,.000,.000,.00,1272.305986623
07/02/2017 19,07/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,101179.309929,823.247572695,553.074573,8650.60,1729.14,1437.399929981,359.389953686,.00,.000,341.700,150.000,.000,.000,.00,1437.399927910
07/02/2017 20,07/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.15,98060.312976,754.496114743,557.324712,6841.00,2324.67,1297.199987126,333.034507047,.00,.000,273.700,200.000,.000,.000,.00,1297.199985227
07/02/2017 21,07/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.73,93779.321975,828.311299230,841.241932,8608.08,.00,1449.199986530,523.382098020,.00,.000,521.700,.000,.000,.000,.00,1449.199981780
07/02/2017 22,07/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.15,91167.756967,769.270595139,684.473302,8327.67,.00,1337.999950032,414.411034722,.00,.000,403.600,.000,.000,.000,.00,1337.999950032
07/02/2017 23,07/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.33,86262.335985,735.083875579,1166.722913,7159.72,.00,1280.900055784,731.397309740,.00,.000,421.600,.000,.000,.000,.00,1280.900053220
07/02/2017 24,07/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,79596.124015,496.996769113,1451.807601,3592.09,.00,883.899977613,931.210668171,.00,.000,203.600,.000,.000,.000,.00,883.899977613
07/03/2017 01,07/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73373.150960,95.923764041,1973.930806,60.42,.00,173.900036129,1282.974169477,.00,.000,100.000,.000,.000,.000,.00,173.900031349
07/03/2017 02,07/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68696.715035,11.964445010,2455.619253,.00,.00,21.999947959,1607.846032590,.00,.000,.000,.000,.000,.000,.00,21.999945159
07/03/2017 03,07/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65347.654050,11.946278959,2870.030401,.00,.00,22.000027016,1884.230587432,.00,.000,.000,.000,.000,.000,.00,22.000017213
07/03/2017 04,07/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63387.993958,11.829875717,3011.175105,.00,.00,22.000011694,1996.400606131,.00,.000,.000,.000,.000,.000,.00,22.000004774
07/03/2017 05,07/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62877.221007,11.860957071,2946.540846,.00,.00,21.999977685,1949.342055120,.00,.000,.000,.000,.000,.000,.00,21.999977685
07/03/2017 06,07/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64091.362031,11.858167576,2567.028793,.00,.00,22.000003635,1703.039243443,.00,.000,.000,.000,.000,.000,.00,21.999994762
07/03/2017 07,07/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,66592.019964,12.762138692,2222.455351,.00,.00,23.700008049,1445.829667056,.00,.000,.000,.000,.000,.000,.00,23.699964923
07/03/2017 08,07/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71440.510055,12.664018016,2065.858884,.00,.00,23.699993047,1315.782765380,.00,.000,.000,.000,.000,.000,.00,23.699990705
07/03/2017 09,07/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,77562.815917,15.600792361,1748.905290,.00,.00,28.399998489,1056.610483658,.00,.000,.000,.000,.000,.000,.00,28.399970025
07/03/2017 10,07/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.74,83692.680037,21.680844647,1293.270220,111.20,.00,38.715019814,767.736631053,.00,.000,12.224,.000,.000,.000,.00,38.715003001
07/03/2017 11,07/03/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.07,89515.037898,292.422438587,973.066283,1012.81,105.28,526.254009949,611.234595984,.00,.000,194.217,.000,.000,.000,.00,526.254006749
07/03/2017 12,07/03/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,94435.711978,379.829012666,935.380564,913.28,474.73,688.355065697,619.845749202,.00,.000,175.700,.000,.000,.000,.00,688.355062175
07/03/2017 13,07/03/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,98539.999836,636.077969283,525.022229,9599.25,.00,1131.038503778,369.029504719,.00,.000,175.700,.000,.000,.000,.00,1138.800005691
07/03/2017 14,07/03/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,101957.744984,613.980746013,877.421614,6137.97,.00,1091.082968900,530.526344675,.00,.000,225.700,.000,.000,.000,.00,1091.082966895
07/03/2017 15,07/03/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,104475.440975,667.763867760,751.401522,8135.06,.00,1210.317064766,497.866515104,.00,.000,243.725,.000,.000,.000,.00,1210.317044316
07/03/2017 16,07/03/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,106124.977065,611.896748655,519.051035,9917.37,.00,1083.808022683,346.794996453,.00,.000,225.708,.000,.000,.000,.00,1083.808019314
07/03/2017 17,07/03/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,106986.431101,621.100815750,370.100000,21827.39,.00,1092.333004291,210.438952204,.00,.000,243.700,.000,.000,.000,.00,1092.332989667
07/03/2017 18,07/03/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,106347.395958,600.433352631,645.048667,10163.94,.00,1081.700036868,399.806910439,.00,.000,225.500,.000,.000,.000,.00,1081.700035099
07/03/2017 19,07/03/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,103375.577947,591.111471206,722.596527,6515.05,.00,1097.507953863,490.689812499,.00,.000,273.500,.000,.000,.000,.00,1097.507951941
07/03/2017 20,07/04/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.88,98786.210009,513.307129919,866.828928,4132.93,.00,951.700008156,589.802278344,.00,.000,205.500,.000,.000,.000,.00,951.700006189
07/03/2017 21,07/04/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),2.53,94113.072095,523.021758083,638.660556,2971.74,.00,969.699978283,462.110295269,.00,.000,223.500,.000,.000,.000,.00,969.699978283
