Preliminary Synchronized Reserve Summary 
Month:,"August, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:23:19 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
08/01/2017 01,08/01/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74920.546036,133.560082597,2098.164306,285.68,.00,230.016988250,1436.541420073,.00,.000,88.000,.000,.000,.000,.00,230.016983072
08/01/2017 02,08/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70389.737993,25.607430480,2484.331364,148.08,.00,45.125100912,1746.777206166,.00,.000,.000,.000,.000,.000,.00,45.125057188
08/01/2017 03,08/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67226.955026,19.679863473,2946.602829,101.25,.00,34.566058590,2056.817201189,.00,.000,.000,.000,.000,.000,.00,34.566000614
08/01/2017 04,08/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65355.019978,12.026489215,3601.288214,.00,.00,20.800140326,2444.052727275,.00,.000,.000,.000,.000,.000,.00,20.800071749
08/01/2017 05,08/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65120.534007,12.050283320,3382.123669,.00,.00,20.799971985,2275.879415824,.00,.000,.000,.000,.000,.000,.00,20.799911675
08/01/2017 06,08/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67552.018003,17.271533005,2464.647744,66.95,.00,30.891973872,1725.292416433,.00,.000,.000,.000,.000,.000,.00,30.891970987
08/01/2017 07,08/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71431.502024,16.503205723,2284.663070,115.59,.00,29.474957871,1583.489427005,.00,.000,.000,.000,.000,.000,.00,29.474952558
08/01/2017 08,08/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,76501.350985,15.070888456,1921.485563,9.24,.00,26.975033974,1297.990665119,.00,.000,.000,.000,.000,.000,.00,26.975033974
08/01/2017 09,08/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),1.99,82269.834968,34.746183499,1500.233187,188.88,.00,62.060019680,967.818118487,.00,.000,21.935,.000,.000,.000,.00,62.060019680
08/01/2017 10,08/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.51,87845.370044,210.405146668,1197.675950,656.14,.00,366.441014941,754.612302974,.00,.000,115.000,.000,.000,.000,.00,366.441011679
08/01/2017 11,08/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,93793.958050,286.231260673,1154.086324,963.29,.00,501.472976288,768.144272723,.00,.000,183.340,.000,.000,.000,.00,501.472976288
08/01/2017 12,08/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,99083.731942,296.659941066,1232.904134,847.87,.00,514.116963953,803.005748733,.00,.000,90.100,.000,.000,.000,.00,514.116963953
08/01/2017 13,08/01/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),3.36,103778.535012,264.127560660,1054.424842,406.99,.00,458.541007093,689.980329606,.00,.000,120.658,.000,.000,.000,.00,458.541007093
08/01/2017 14,08/01/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),10.98,107660.874988,404.737520546,821.079240,730.57,.00,699.325011447,541.116898854,.00,.000,253.267,.000,.000,.000,.00,699.325009828
08/01/2017 15,08/01/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),2.41,110617.882996,265.155267166,1095.338649,719.00,.00,459.673989828,700.343189923,.00,.000,142.600,.000,.000,.000,.00,459.673989828
08/01/2017 16,08/01/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),3.38,112498.597904,316.692285947,889.458414,698.91,.00,566.010013940,616.694833673,.00,.000,218.285,.000,.000,.000,.00,566.010013940
08/01/2017 17,08/01/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.21,113378.351040,230.460426832,1061.400164,618.13,.00,405.942023279,684.905524708,.00,.000,102.917,.000,.000,.000,.00,405.942021695
08/01/2017 18,08/01/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65428.262572,99.899984712,956.754166,6.96,.00,99.899985863,1051.400009577,.00,.000,99.900,.000,.000,.000,.00,99.899984712
08/01/2017 19,08/01/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64640.594642,129.900007013,808.230527,6.96,.00,129.900007013,829.100001618,.00,.000,129.900,.000,.000,.000,.00,129.900007013
08/01/2017 20,08/02/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,106791.892006,321.501890542,1222.402818,849.38,.00,542.167011597,752.220610142,.00,.000,129.900,.000,.000,.000,.00,542.167009766
08/01/2017 21,08/02/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.62,103511.702998,258.662184824,1242.006050,394.10,.00,437.324013719,761.605874034,.00,.000,128.100,.000,.000,.000,.00,437.323996301
08/01/2017 22,08/02/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),3.24,99993.632980,227.103048900,1253.971798,206.41,.00,382.540996808,783.014370862,.00,.000,188.333,.000,.000,.000,.00,382.540995099
08/01/2017 23,08/02/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,92909.078945,316.170791959,1528.557144,727.22,.00,524.283033947,948.118185158,.00,.000,108.000,.000,.000,.000,.00,524.283031826
08/01/2017 24,08/02/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,84722.989014,43.916053969,1889.781856,15.89,.00,74.725035552,1216.616837055,.00,.000,21.400,.000,.000,.000,.00,74.725033441
08/02/2017 01,08/02/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78081.769035,14.412278396,2336.688705,.00,.00,25.317032357,1573.362131260,.00,.000,.000,.000,.000,.000,.00,25.317027048
08/02/2017 02,08/02/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73160.669968,11.590564469,2791.071309,.00,.00,20.550029586,1894.630150409,.00,.000,.000,.000,.000,.000,.00,20.550020017
08/02/2017 03,08/02/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70034.036953,12.030871329,3205.185815,.00,.00,21.174977340,2156.378646237,.00,.000,.000,.000,.000,.000,.00,21.174970089
08/02/2017 04,08/02/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,68001.606016,.112812943,3715.598054,.00,.00,.200196333,2501.450017489,.00,.000,.000,.000,.000,.000,.00,.200133411
