Preliminary Synchronized Reserve Summary 
Month:,"September, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:27:03 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
09/01/2017 01,09/01/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64160.046025,12.691059818,1431.942391,.00,.00,22.316946257,1007.072712802,.00,.000,.000,.000,.000,.000,.00,22.316946257
09/01/2017 02,09/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,60739.600988,13.425699745,1526.664378,.00,.00,23.833061789,1101.540504263,.00,.000,.808,.000,.000,.000,.00,23.833061789
09/01/2017 03,09/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58432.439963,53.200461310,2277.304481,.00,.00,92.791956533,1638.980475848,.00,.000,70.000,.000,.000,.000,.00,92.791956533
09/01/2017 04,09/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57317.282902,13.628111046,2004.560057,.00,.00,23.407955163,1410.156188268,.00,.000,.000,.000,.000,.000,.00,23.407952861
09/01/2017 05,09/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,57324.869002,13.504975408,1815.861562,.00,.00,23.567009947,1305.012043980,.00,.000,.000,.000,.000,.000,.00,23.567009947
09/01/2017 06,09/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,59950.868071,10.312668964,2257.598933,.00,.00,17.982979499,1601.043426854,.00,.000,.000,.000,.000,.000,.00,17.982979499
09/01/2017 07,09/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64792.422965,12.755768403,1695.549619,.00,.00,21.958017104,1192.086442533,.00,.000,.000,.000,.000,.000,.00,21.958017104
09/01/2017 08,09/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,67994.066073,13.411804318,1856.273041,.00,.00,22.592030003,1261.283578415,.00,.000,.000,.000,.000,.000,.00,22.592001078
09/01/2017 09,09/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,70193.957072,11.539403694,2143.354568,.00,.00,19.299991149,1441.158348020,.00,.000,.000,.000,.000,.000,.00,19.299991149
09/01/2017 10,09/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71632.315996,11.408104970,2118.865140,.00,.00,19.300015276,1405.280421907,.00,.000,.000,.000,.000,.000,.00,19.300015276
09/01/2017 11,09/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72688.445003,10.307454590,2137.118226,.00,.00,17.900020497,1474.208334821,.00,.000,.000,.000,.000,.000,.00,17.900020497
09/01/2017 12,09/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,73278.221966,13.073771747,2111.693825,.00,.00,23.000009476,1478.343155908,.00,.000,.000,.000,.000,.000,.00,23.000009476
