Preliminary Synchronized Reserve Summary 
Month:,"October, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:31:31 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
10/01/2017 01,10/01/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,53529.554975,175.292603996,1683.928521,403.10,.00,298.900003124,1169.326626755,.00,.000,111.500,.000,.000,.000,.00,298.899996629
10/01/2017 02,10/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,51440.027161,15.184473839,1650.946604,.00,.00,26.599982700,1168.687757190,.00,.000,.000,.000,.000,.000,.00,26.599982700
10/01/2017 03,10/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,50361.026138,15.349025766,1938.005064,.00,.00,26.599960693,1366.385464695,.00,.000,.000,.000,.000,.000,.00,26.599960693
10/01/2017 04,10/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,49664.374168,15.461416121,1875.008688,.00,.00,26.599965528,1310.352770284,.00,.000,.000,.000,.000,.000,.00,26.599965528
10/01/2017 05,10/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,49625.001067,15.261235887,1651.859716,.00,.00,26.600012553,1172.162959389,.00,.000,.000,.000,.000,.000,.00,26.600012553
10/01/2017 06,10/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),1.47,50297.161221,30.613509583,1474.867117,152.51,.00,53.783985659,1052.418162397,.00,.000,15.500,.000,.000,.000,.00,53.783985659
10/01/2017 07,10/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),13.30,52098.393160,131.752548831,1330.687023,38.29,.00,231.800019987,976.660569330,.00,.000,75.408,.000,.000,.000,.00,231.800019987
10/01/2017 08,10/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),6.19,53751.412201,203.770992274,1237.446219,47.19,.00,351.340974305,887.048756231,.00,.000,160.166,.000,.000,.000,.00,351.340974305
10/01/2017 09,10/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56230.912190,248.296954712,1189.064024,1173.08,.00,439.800013763,893.243322662,.00,.000,165.100,.000,.000,.000,.00,439.800013763
10/01/2017 10,10/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58041.578154,274.735960972,1145.835124,1032.94,.00,477.600045026,835.198196329,.00,.000,147.100,.000,.000,.000,.00,477.600045026
