Preliminary Synchronized Reserve Summary ,,,,,,,,,,,,,,,,,,,
Month:,"November, 2017 ",Report Creation Timestamp (EPT):, 01/05/2018 12:39:10 PM,,,,,,,,,,,,,,,,
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
11/01/2017 01,11/01/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),0,64488.93601,255.0782529,1273.22918,789.07,0,426.4830088,954.6854797,0,0,214,0,0,0,0,426.4830088
11/01/2017 02,11/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),0,62653.16295,140.8578156,1426.776385,235.37,0,235.3669832,1041.392694,0,0,80,0,0,0,0,235.3669832
11/01/2017 03,11/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),0,61763.38596,172.7104578,1549.481105,295.85,0,290.4579994,1140.862455,0,0,98,0,0,0,0,290.4579664
11/01/2017 04,11/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),0,61690.221,64.50930779,1602.145801,62.27,0,108.1420307,1145.972587,0,0,0,0,0,0,0,108.1420307
11/01/2017 05,11/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),0,62740.45002,61.777776,1460.103357,63.35,0,105.1670015,1047.998693,0,0,0,0,0,0,0,105.1670015
11/01/2017 06,11/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),0,66867.45901,72.84054123,1329.081353,106.55,0,125.0419776,942.7466691,0,0,19.567,0,0,0,0,125.0419776
11/01/2017 07,11/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),0,73694.404,215.5408633,1535.492505,632.14,0,371.6670067,1096.485699,0,0,197.9,0,0,0,0,371.6670067
11/01/2017 08,11/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),0,78670.72197,316.2381127,1227.254452,3573.55,0,538.6910394,903.6905041,0,0,196.1,0,0,0,0,538.6910394
11/01/2017 09,11/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),0,79343.82898,344.7700192,920.599674,2767.94,0,573.7160057,668.0180305,0,0,207.508,0,0,0,0,573.7159861
11/01/2017 10,11/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),2.5,79096.951,562.0615449,770.185909,3295.02,6467.23,947.6590189,635.4642797,0,0,200.85,272.2,0,0,0,947.6590189
11/01/2017 11,11/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),0,78961.30596,680.1170231,857.266298,2812.9,7283.81,1145.598988,728.4469527,0,0,205.108,428.5,0,0,0,1145.598988
11/01/2017 12,11/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),0,78421.34596,564.6739883,609.846444,7980.99,1176.54,952.4579772,537.9416009,0,0,343.575,100,0,0,0,952.4579772
