Preliminary Synchronized Reserve Summary 
Month:,"December, 2017" ,Report Creation Timestamp (EPT):, 01/08/2018 04:33:35 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
12/01/2017 01,12/01/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65213.348964,90.762767604,1465.216106,.00,.00,152.199996453,1034.949263741,.00,.000,.000,.000,.000,.000,.00,152.199996453
12/01/2017 02,12/01/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63471.554981,74.077830611,1463.665925,.00,.00,123.099923895,1024.924206160,.00,.000,.000,.000,.000,.000,.00,123.099923895
12/01/2017 03,12/01/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63024.311991,91.902429428,1406.061663,.00,.00,153.099984116,994.965137123,.00,.000,.000,.000,.000,.000,.00,153.099984116
12/01/2017 04,12/01/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63243.987003,72.672144063,1331.564311,.00,.00,123.099937570,965.125723920,.00,.000,.000,.000,.000,.000,.00,123.099937570
12/01/2017 05,12/01/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64888.415973,92.385364889,1326.603749,.00,.00,153.099974832,917.310839523,.00,.000,.000,.000,.000,.000,.00,153.099974832
12/01/2017 06,12/01/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.98,69426.511014,89.138260720,1239.017220,93.72,.00,153.058979192,885.159799801,.00,.000,13.300,.000,.000,.000,.00,153.058979192
12/01/2017 07,12/01/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),8.44,76825.719022,303.295357135,1061.246510,1002.58,.00,528.864965784,820.260928168,.00,.000,149.482,.000,.000,.000,.00,528.864965784
12/01/2017 08,12/01/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),18.24,81013.763016,322.940609731,788.571042,879.53,.00,556.366976419,608.451331960,.00,.000,371.284,.000,.000,.000,.00,556.366976419
12/01/2017 09,12/01/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80593.768949,609.561522378,998.120729,5036.26,.00,1013.950013585,766.824614933,.00,.000,242.850,.000,.000,.000,.00,1013.950013585
12/01/2017 10,12/01/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),1.41,78970.272020,453.197603075,871.694257,2682.01,.00,749.476031161,673.706977887,.00,.000,229.309,.000,.000,.000,.00,749.476031161
12/01/2017 11,12/01/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.52,77423.877019,328.030873973,1059.865039,828.51,.00,539.473997944,778.726200265,.00,.000,188.733,.000,.000,.000,.00,539.473997944
