,8/1/2017,8/2/2017
16:00:00,-1,-0.91885458
16:00:02,-1,-0.91875686
16:00:04,-1,-0.918598582
16:00:06,-1,-0.918408118
16:00:08,-1,-0.918177741
16:00:10,-1,-0.917907556
16:00:12,-1,-0.917554473
16:00:14,-1,-0.917152054
16:00:16,-1,-0.91678182
16:00:18,-1,-0.916614225
16:00:20,-1,-0.916617083
16:00:22,-1,-0.916856989
16:00:24,-1,-0.917277089
16:00:26,-1,-0.985219967
16:00:28,-1,-1
16:00:30,-1,-1
16:00:32,-1,-0.981570204
16:00:34,-0.999999905,-0.941396371
16:00:36,-0.999999714,-0.936781042
16:00:38,-0.999999524,-0.938940104
16:00:40,-0.999999333,-0.941437329
16:00:42,-0.999999142,-0.944069021
16:00:44,-0.999999047,-0.946780822
16:00:46,-0.999998857,-0.949520448
16:00:48,-0.999998666,-0.952217439
16:00:50,-0.999998476,-0.955091028
16:00:52,-0.999998285,-0.957873625
16:00:54,-0.999998094,-0.960718604
16:00:56,-0.999997999,-0.961093117
16:00:58,-0.999997809,-0.965877309
16:01:00,-0.999997618,-0.968723409
16:01:02,-0.999997427,-0.97113441
16:01:04,-0.999997237,-0.973374872
16:01:06,-0.999997142,-0.975418315
16:01:08,-0.999996951,-0.977244209
16:01:10,-0.999996761,-0.978713653
16:01:12,-0.99999657,-0.979858735
16:01:14,-0.999996379,-0.980993944
16:01:16,-0.999996189,-0.98196198
16:01:18,-0.999996094,-0.982753529
16:01:20,-0.999995903,-0.982844409
16:01:22,-0.999995713,-0.983372744
16:01:24,-0.999995522,-0.984485626
16:01:26,-0.999995331,-0.98508588
16:01:28,-0.999995141,-0.985566981
16:01:30,-0.999995046,-0.986010159
16:01:32,-0.999994855,-0.98606693
16:01:34,-0.999994664,-0.986859602
16:01:36,-0.999994474,-0.987386367
16:01:38,-0.999994283,-0.987849516
16:01:40,-0.999994188,-0.988277099
16:01:42,-0.999993998,-0.988329943
16:01:44,-0.999993807,-0.988653856
16:01:46,-0.999993616,-0.989264208
16:01:48,-0.999993426,-0.989560857
16:01:50,-0.999993235,-0.989828559
16:01:52,-0.99999314,-0.990119149
16:01:54,-0.999992949,-0.990467408
16:01:56,-0.999992759,-0.990510604
16:01:58,-0.999992568,-0.991162917
16:02:00,-0.999992378,-0.991554933
16:02:02,-0.999992283,-0.991878622
16:02:04,-0.999992092,-0.992199505
16:02:06,-0.999991901,-0.992538228
16:02:08,-0.999991711,-0.992862028
16:02:10,-0.99999152,-0.993116491
16:02:12,-0.99999133,-0.993256176
16:02:14,-0.999991234,-0.993276372
16:02:16,-0.999991044,-0.993204566
16:02:18,-0.999990853,-0.993045807
16:02:20,-0.999990663,-0.992770251
16:02:22,-0.999990472,-0.992446675
16:02:24,-0.999990282,-0.992094601
16:02:26,-0.999990186,-0.991671955
16:02:28,-0.999989996,-0.991152595
16:02:30,-0.999989805,-0.990499384
16:02:32,-0.999989615,-0.989712322
16:02:34,-0.999989424,-0.988833932
16:02:36,-0.999989329,-0.987816979
16:02:38,-0.999989138,-0.98678903
16:02:40,-0.999988948,-0.985826268
16:02:42,-0.999988757,-0.984810661
16:02:44,-0.999988567,-0.983738955
16:02:46,-0.999988376,-0.982632693
16:02:48,-0.999988281,-0.981532938
16:02:50,-0.99998809,-0.980491414
16:02:52,-0.9999879,-0.97959597
16:02:54,-0.999987709,-0.978774912
16:02:56,-0.999987519,-0.978667091
16:02:58,-0.999987423,-0.977500467
16:03:00,-0.999987233,-0.976820329
16:03:02,-0.999987042,-0.976313647
16:03:04,-0.999986852,-0.975956075
16:03:06,-0.999986661,-0.975760965
16:03:08,-0.999986471,-0.975661558
16:03:10,-0.999986375,-0.975597269
16:03:12,-0.999986185,-0.975605909
16:03:14,-0.999985994,-0.975716759
16:03:16,-0.999985804,-0.975942612
16:03:18,-0.999985613,-0.919329487
16:03:20,-0.999985423,-0.911860645
16:03:22,-0.999985327,-0.912541793
16:03:24,-0.999985137,-0.913346414
16:03:26,-0.999984946,-0.914230418
16:03:28,-0.999984756,-0.915245018
16:03:30,-0.999984565,-0.916293863
16:03:32,-0.99998447,-0.916425401
16:03:34,-0.999984279,-0.918154137
16:03:36,-0.999984089,-0.918406739
16:03:38,-0.999983898,-0.919931676
16:03:40,-0.999983708,-0.920776826
